"ray/tune/info/num_steps_sampled","checkpoint: rl_algos/sac_ckpts/dashing-puddle-1030700.ckpt - _step","checkpoint: rl_algos/sac_ckpts/dashing-puddle-1030700.ckpt - _step__MIN","checkpoint: rl_algos/sac_ckpts/dashing-puddle-1030700.ckpt - _step__MAX","checkpoint: rl_algos/sac_ckpts/dashing-puddle-1030700.ckpt - ray/tune/custom_metrics/energy_cost_mean","checkpoint: rl_algos/sac_ckpts/dashing-puddle-1030700.ckpt - ray/tune/custom_metrics/energy_cost_mean__MIN","checkpoint: rl_algos/sac_ckpts/dashing-puddle-1030700.ckpt - ray/tune/custom_metrics/energy_cost_mean__MAX","checkpoint: super-monkey-909 - _step","checkpoint: super-monkey-909 - _step__MIN","checkpoint: super-monkey-909 - _step__MAX","checkpoint: super-monkey-909 - ray/tune/custom_metrics/energy_cost_mean","checkpoint: super-monkey-909 - ray/tune/custom_metrics/energy_cost_mean__MIN","checkpoint: super-monkey-909 - ray/tune/custom_metrics/energy_cost_mean__MAX","checkpoint: rose-galaxy-908 - _step","checkpoint: rose-galaxy-908 - _step__MIN","checkpoint: rose-galaxy-908 - _step__MAX","checkpoint: rose-galaxy-908 - ray/tune/custom_metrics/energy_cost_mean","checkpoint: rose-galaxy-908 - ray/tune/custom_metrics/energy_cost_mean__MIN","checkpoint: rose-galaxy-908 - ray/tune/custom_metrics/energy_cost_mean__MAX","checkpoint: charmed-wind-904 - _step","checkpoint: charmed-wind-904 - _step__MIN","checkpoint: charmed-wind-904 - _step__MAX","checkpoint: charmed-wind-904 - ray/tune/custom_metrics/energy_cost_mean","checkpoint: charmed-wind-904 - ray/tune/custom_metrics/energy_cost_mean__MIN","checkpoint: charmed-wind-904 - ray/tune/custom_metrics/energy_cost_mean__MAX","checkpoint: lucky-wind-900 - _step","checkpoint: lucky-wind-900 - _step__MIN","checkpoint: lucky-wind-900 - _step__MAX","checkpoint: lucky-wind-900 - ray/tune/custom_metrics/energy_cost_mean","checkpoint: lucky-wind-900 - ray/tune/custom_metrics/energy_cost_mean__MIN","checkpoint: lucky-wind-900 - ray/tune/custom_metrics/energy_cost_mean__MAX","checkpoint: brisk-vortex-896 - _step","checkpoint: brisk-vortex-896 - _step__MIN","checkpoint: brisk-vortex-896 - _step__MAX","checkpoint: brisk-vortex-896 - ray/tune/custom_metrics/energy_cost_mean","checkpoint: brisk-vortex-896 - ray/tune/custom_metrics/energy_cost_mean__MIN","checkpoint: brisk-vortex-896 - ray/tune/custom_metrics/energy_cost_mean__MAX","checkpoint: grateful-monkey-892 - _step","checkpoint: grateful-monkey-892 - _step__MIN","checkpoint: grateful-monkey-892 - _step__MAX","checkpoint: grateful-monkey-892 - ray/tune/custom_metrics/energy_cost_mean","checkpoint: grateful-monkey-892 - ray/tune/custom_metrics/energy_cost_mean__MIN","checkpoint: grateful-monkey-892 - ray/tune/custom_metrics/energy_cost_mean__MAX"
"1056","","","","","","","18","18","18","107.54141998291016","107.54141998291016","107.54141998291016","18","18","18","99.63150024414062","99.63150024414062","99.63150024414062","18","18","18","104.83439636230469","104.83439636230469","104.83439636230469","18","18","18","103.70460510253906","103.70460510253906","103.70460510253906","18","18","18","109.31889343261719","109.31889343261719","109.31889343261719","18","18","18","102.39839935302734","102.39839935302734","102.39839935302734"
"1100","22","22","22","43.169593811035156","42.321041107177734","44.21186447143555","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1156","","","","","","","20","20","20","101.80149841308594","101.80149841308594","101.80149841308594","20","20","20","104.545166015625","104.545166015625","104.545166015625","20","20","20","101.75589752197266","101.75589752197266","101.75589752197266","20","20","20","103.58023834228516","103.58023834228516","103.58023834228516","20","20","20","105.41157531738281","105.41157531738281","105.41157531738281","20","20","20","100.59358215332031","100.59358215332031","100.59358215332031"
"1200","24","24","24","43.13378829956055","42.76481628417969","43.51156997680664","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1256","","","","","","","22","22","22","101.99919128417969","101.99919128417969","101.99919128417969","22","22","22","97.79209899902344","97.79209899902344","97.79209899902344","22","22","22","97.92890930175781","97.92890930175781","97.92890930175781","22","22","22","96.75259399414062","96.75259399414062","96.75259399414062","22","22","22","101.416015625","101.416015625","101.416015625","22","22","22","99.99034118652344","99.99034118652344","99.99034118652344"
"1300","26","26","26","43.54352493286133","43.248104095458984","43.780433654785156","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1356","","","","","","","24","24","24","102.75190734863281","102.75190734863281","102.75190734863281","24","24","24","102.72382354736328","102.72382354736328","102.72382354736328","24","24","24","107.55966186523438","107.55966186523438","107.55966186523438","24","24","24","102.33849334716797","102.33849334716797","102.33849334716797","24","24","24","99.58566284179688","99.58566284179688","99.58566284179688","24","24","24","98.63459777832031","98.63459777832031","98.63459777832031"
"1400","28","28","28","43.16247024536133","42.2929801940918","44.09994888305664","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1456","","","","","","","26","26","26","97.61930847167969","97.61930847167969","97.61930847167969","26","26","26","101.6766128540039","101.6766128540039","101.6766128540039","26","26","26","100.52949523925781","100.52949523925781","100.52949523925781","26","26","26","98.56839752197266","98.56839752197266","98.56839752197266","26","26","26","94.46509552001953","94.46509552001953","94.46509552001953","26","26","26","95.07125091552734","95.07125091552734","95.07125091552734"
"1500","30","30","30","43.73093948364258","42.88271713256836","44.628849029541016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1556","","","","","","","28","28","28","106.60391998291016","106.60391998291016","106.60391998291016","28","28","28","103.16873168945312","103.16873168945312","103.16873168945312","28","28","28","105.69500732421875","105.69500732421875","105.69500732421875","28","28","28","96.34169006347656","96.34169006347656","96.34169006347656","28","28","28","97.38059997558594","97.38059997558594","97.38059997558594","28","28","28","94.47582244873047","94.47582244873047","94.47582244873047"
"1600","32","32","32","43.218091583251955","42.499202728271484","44.017112731933594","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1656","","","","","","","30","30","30","108.32850646972656","108.32850646972656","108.32850646972656","30","30","30","101.56790161132812","101.56790161132812","101.56790161132812","30","30","30","98.92497253417969","98.92497253417969","98.92497253417969","30","30","30","96.9712905883789","96.9712905883789","96.9712905883789","30","30","30","101.38294982910156","101.38294982910156","101.38294982910156","30","30","30","91.47608947753906","91.47608947753906","91.47608947753906"
"1700","34","34","34","43.37303695678711","42.83195495605469","44.07768249511719","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1756","","","","","","","32","32","32","96.53366088867188","96.53366088867188","96.53366088867188","32","32","32","96.00606536865234","96.00606536865234","96.00606536865234","32","32","32","97.76726531982422","97.76726531982422","97.76726531982422","32","32","32","99.56094360351562","99.56094360351562","99.56094360351562","32","32","32","96.45191192626953","96.45191192626953","96.45191192626953","32","32","32","92.62272644042969","92.62272644042969","92.62272644042969"
"1800","36","36","36","43.53312606811524","42.79245376586914","44.464637756347656","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1856","","","","","","","34","34","34","91.34416198730469","91.34416198730469","91.34416198730469","34","34","34","93.62089538574219","93.62089538574219","93.62089538574219","34","34","34","96.47356414794922","96.47356414794922","96.47356414794922","34","34","34","99.8294677734375","99.8294677734375","99.8294677734375","34","34","34","99.30522918701172","99.30522918701172","99.30522918701172","34","34","34","98.54287719726562","98.54287719726562","98.54287719726562"
"1900","38","38","38","43.277225494384766","43.072898864746094","43.50006103515625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1956","","","","","","","36","36","36","98.6494369506836","98.6494369506836","98.6494369506836","36","36","36","95.9009780883789","95.9009780883789","95.9009780883789","36","36","36","97.35137939453125","97.35137939453125","97.35137939453125","36","36","36","97.04743194580078","97.04743194580078","97.04743194580078","36","36","36","95.68578338623047","95.68578338623047","95.68578338623047","36","36","36","91.64838409423828","91.64838409423828","91.64838409423828"
"2000","40","40","40","43.38440933227539","42.563934326171875","44.34108352661133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2056","","","","","","","38","38","38","107.30994415283203","107.30994415283203","107.30994415283203","38","38","38","103.77618408203125","103.77618408203125","103.77618408203125","38","38","38","96.37128448486328","96.37128448486328","96.37128448486328","38","38","38","97.85398864746094","97.85398864746094","97.85398864746094","38","38","38","100.90077209472656","100.90077209472656","100.90077209472656","38","38","38","97.29124450683594","97.29124450683594","97.29124450683594"
"2100","42","42","42","43.13849563598633","42.61573791503906","43.35557556152344","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2156","","","","","","","40","40","40","98.6349105834961","98.6349105834961","98.6349105834961","40","40","40","100.23088073730469","100.23088073730469","100.23088073730469","40","40","40","94.11933135986328","94.11933135986328","94.11933135986328","40","40","40","98.35879516601562","98.35879516601562","98.35879516601562","40","40","40","98.87979888916016","98.87979888916016","98.87979888916016","40","40","40","96.95419311523438","96.95419311523438","96.95419311523438"
"2200","44","44","44","42.88003845214844","42.279632568359375","43.072898864746094","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2256","","","","","","","42","42","42","94.86327362060547","94.86327362060547","94.86327362060547","42","42","42","95.46469116210938","95.46469116210938","95.46469116210938","42","42","42","94.08999633789062","94.08999633789062","94.08999633789062","42","42","42","96.80905151367188","96.80905151367188","96.80905151367188","42","42","42","96.97534942626953","96.97534942626953","96.97534942626953","42","42","42","90.56222534179688","90.56222534179688","90.56222534179688"
"2300","46","46","46","43.13798522949219","42.63154983520508","43.84941482543945","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2356","","","","","","","44","44","44","90.37969970703125","90.37969970703125","90.37969970703125","44","44","44","97.54358673095703","97.54358673095703","97.54358673095703","44","44","44","96.631591796875","96.631591796875","96.631591796875","44","44","44","91.87019348144531","91.87019348144531","91.87019348144531","44","44","44","101.27104187011719","101.27104187011719","101.27104187011719","44","44","44","92.7694320678711","92.7694320678711","92.7694320678711"
"2400","48","48","48","43.258575439453125","42.79391860961914","43.79248809814453","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2456","","","","","","","46","46","46","92.50917053222656","92.50917053222656","92.50917053222656","46","46","46","91.37649536132812","91.37649536132812","91.37649536132812","46","46","46","95.4654769897461","95.4654769897461","95.4654769897461","46","46","46","96.96400451660156","96.96400451660156","96.96400451660156","46","46","46","101.77672576904297","101.77672576904297","101.77672576904297","46","46","46","92.6654281616211","92.6654281616211","92.6654281616211"
"2500","50","50","50","43.1029541015625","42.51046371459961","43.83631896972656","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2556","","","","","","","48","48","48","96.98735046386719","96.98735046386719","96.98735046386719","48","48","48","98.6772689819336","98.6772689819336","98.6772689819336","48","48","48","96.5596923828125","96.5596923828125","96.5596923828125","48","48","48","95.35733795166016","95.35733795166016","95.35733795166016","48","48","48","99.87700653076172","99.87700653076172","99.87700653076172","48","48","48","94.47570037841797","94.47570037841797","94.47570037841797"
"2600","52","52","52","43.184835815429686","42.178585052490234","43.9338493347168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2656","","","","","","","50","50","50","94.02215576171875","94.02215576171875","94.02215576171875","50","50","50","94.85831451416016","94.85831451416016","94.85831451416016","50","50","50","101.16273498535156","101.16273498535156","101.16273498535156","50","50","50","95.81612396240234","95.81612396240234","95.81612396240234","50","50","50","91.47386932373047","91.47386932373047","91.47386932373047","50","50","50","95.44408416748047","95.44408416748047","95.44408416748047"
"2700","54","54","54","43.18405456542969","42.72210693359375","43.816139221191406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2756","","","","","","","52","52","52","98.26679992675781","98.26679992675781","98.26679992675781","52","52","52","90.78777313232422","90.78777313232422","90.78777313232422","52","52","52","90.738037109375","90.738037109375","90.738037109375","52","52","52","94.98309326171875","94.98309326171875","94.98309326171875","52","52","52","99.9659423828125","99.9659423828125","99.9659423828125","52","52","52","98.43522644042969","98.43522644042969","98.43522644042969"
"2800","56","56","56","43.29522476196289","42.097103118896484","43.996028900146484","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2856","","","","","","","54","54","54","89.61554718017578","89.61554718017578","89.61554718017578","54","54","54","90.65563201904297","90.65563201904297","90.65563201904297","54","54","54","92.29399871826172","92.29399871826172","92.29399871826172","54","54","54","90.24986267089844","90.24986267089844","90.24986267089844","54","54","54","91.72673034667969","91.72673034667969","91.72673034667969","54","54","54","99.75174713134766","99.75174713134766","99.75174713134766"
"2900","58","58","58","43.04223556518555","42.605506896972656","43.52665328979492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2956","","","","","","","56","56","56","100.7808837890625","100.7808837890625","100.7808837890625","56","56","56","92.49229431152344","92.49229431152344","92.49229431152344","56","56","56","91.68191528320312","91.68191528320312","91.68191528320312","56","56","56","101.51921844482422","101.51921844482422","101.51921844482422","56","56","56","95.78520965576172","95.78520965576172","95.78520965576172","56","56","56","93.92869567871094","93.92869567871094","93.92869567871094"
"3000","60","60","60","43.01928558349609","42.71315383911133","43.8837776184082","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3056","","","","","","","58","58","58","91.99459838867188","91.99459838867188","91.99459838867188","58","58","58","95.71148681640625","95.71148681640625","95.71148681640625","58","58","58","93.91441345214844","93.91441345214844","93.91441345214844","58","58","58","100.12711334228516","100.12711334228516","100.12711334228516","58","58","58","92.75779724121094","92.75779724121094","92.75779724121094","58","58","58","96.16179656982422","96.16179656982422","96.16179656982422"
"3100","62","62","62","43.08371810913086","42.52274703979492","43.502742767333984","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3156","","","","","","","60","60","60","92.14781188964844","92.14781188964844","92.14781188964844","60","60","60","88.24341583251953","88.24341583251953","88.24341583251953","60","60","60","97.14339447021484","97.14339447021484","97.14339447021484","60","60","60","97.09174346923828","97.09174346923828","97.09174346923828","60","60","60","92.55278015136719","92.55278015136719","92.55278015136719","60","60","60","93.7056884765625","93.7056884765625","93.7056884765625"
"3200","64","64","64","43.15756607055664","42.99513244628906","43.361061096191406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3256","","","","","","","62","62","62","91.24508666992188","91.24508666992188","91.24508666992188","62","62","62","95.12699890136719","95.12699890136719","95.12699890136719","62","62","62","90.98686218261719","90.98686218261719","90.98686218261719","62","62","62","91.93478393554688","91.93478393554688","91.93478393554688","62","62","62","93.40380859375","93.40380859375","93.40380859375","62","62","62","84.95768737792969","84.95768737792969","84.95768737792969"
"3300","66","66","66","42.90187454223633","42.30317687988281","43.44652557373047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3356","","","","","","","64","64","64","92.42513275146484","92.42513275146484","92.42513275146484","64","64","64","94.03652954101562","94.03652954101562","94.03652954101562","64","64","64","88.62578582763672","88.62578582763672","88.62578582763672","64","64","64","91.91988372802734","91.91988372802734","91.91988372802734","64","64","64","94.17428588867188","94.17428588867188","94.17428588867188","64","64","64","99.4958267211914","99.4958267211914","99.4958267211914"
"3400","68","68","68","43.139435577392575","42.165042877197266","43.81675720214844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3456","","","","","","","66","66","66","90.06110382080078","90.06110382080078","90.06110382080078","66","66","66","91.70503997802734","91.70503997802734","91.70503997802734","66","66","66","86.9384994506836","86.9384994506836","86.9384994506836","66","66","66","94.78083801269531","94.78083801269531","94.78083801269531","66","66","66","91.0422592163086","91.0422592163086","91.0422592163086","66","66","66","90.00077819824219","90.00077819824219","90.00077819824219"
"3500","70","70","70","43.02269592285156","42.06821823120117","43.851951599121094","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3556","","","","","","","68","68","68","96.68122863769531","96.68122863769531","96.68122863769531","68","68","68","85.392333984375","85.392333984375","85.392333984375","68","68","68","91.85464477539062","91.85464477539062","91.85464477539062","68","68","68","87.15296936035156","87.15296936035156","87.15296936035156","68","68","68","88.02584838867188","88.02584838867188","88.02584838867188","68","68","68","89.74417877197266","89.74417877197266","89.74417877197266"
"3600","72","72","72","44.12498092651367","42.17542266845703","49.60081100463867","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3656","","","","","","","70","70","70","89.75074005126953","89.75074005126953","89.75074005126953","70","70","70","85.9486083984375","85.9486083984375","85.9486083984375","70","70","70","89.68795776367188","89.68795776367188","89.68795776367188","70","70","70","93.14398193359375","93.14398193359375","93.14398193359375","70","70","70","95.1356430053711","95.1356430053711","95.1356430053711","70","70","70","90.06053161621094","90.06053161621094","90.06053161621094"
"3700","74","74","74","43.7182975769043","42.3653450012207","46.58938217163086","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3756","","","","","","","72","72","72","85.80801391601562","85.80801391601562","85.80801391601562","72","72","72","90.3281478881836","90.3281478881836","90.3281478881836","72","72","72","85.70807647705078","85.70807647705078","85.70807647705078","72","72","72","90.7952880859375","90.7952880859375","90.7952880859375","72","72","72","84.38786315917969","84.38786315917969","84.38786315917969","72","72","72","88.00284576416016","88.00284576416016","88.00284576416016"
"3800","76","76","76","42.81937026977539","42.24979782104492","43.18717575073242","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3856","","","","","","","74","74","74","82.9452133178711","82.9452133178711","82.9452133178711","74","74","74","90.48336029052734","90.48336029052734","90.48336029052734","74","74","74","91.64745330810547","91.64745330810547","91.64745330810547","74","74","74","81.86380004882812","81.86380004882812","81.86380004882812","74","74","74","89.26170349121094","89.26170349121094","89.26170349121094","74","74","74","90.8411636352539","90.8411636352539","90.8411636352539"
"3900","78","78","78","43.013465881347656","42.604347229003906","43.31106948852539","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3956","","","","","","","76","76","76","89.25833129882812","89.25833129882812","89.25833129882812","76","76","76","89.22754669189453","89.22754669189453","89.22754669189453","76","76","76","83.15379333496094","83.15379333496094","83.15379333496094","76","76","76","82.5968017578125","82.5968017578125","82.5968017578125","76","76","76","88.98528289794922","88.98528289794922","88.98528289794922","76","76","76","87.67340850830078","87.67340850830078","87.67340850830078"
"4000","80","80","80","43.2689323425293","42.88517761230469","43.91450119018555","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4056","","","","","","","78","78","78","87.63092041015625","87.63092041015625","87.63092041015625","78","78","78","85.76700592041016","85.76700592041016","85.76700592041016","78","78","78","92.7606430053711","92.7606430053711","92.7606430053711","78","78","78","85.93618774414062","85.93618774414062","85.93618774414062","78","78","78","85.90865325927734","85.90865325927734","85.90865325927734","78","78","78","95.84674835205078","95.84674835205078","95.84674835205078"
"4100","82","82","82","43.097083282470706","42.377010345458984","43.950157165527344","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4156","","","","","","","80","80","80","92.93367004394531","92.93367004394531","92.93367004394531","80","80","80","85.4033203125","85.4033203125","85.4033203125","80","80","80","87.87303161621094","87.87303161621094","87.87303161621094","80","80","80","85.9893798828125","85.9893798828125","85.9893798828125","80","80","80","87.73921203613281","87.73921203613281","87.73921203613281","80","80","80","92.20951080322266","92.20951080322266","92.20951080322266"
"4200","84","84","84","42.773582458496094","42.088951110839844","43.22710037231445","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4256","","","","","","","82","82","82","88.80610656738281","88.80610656738281","88.80610656738281","82","82","82","84.99649810791016","84.99649810791016","84.99649810791016","82","82","82","95.01542663574219","95.01542663574219","95.01542663574219","82","82","82","89.9732666015625","89.9732666015625","89.9732666015625","82","82","82","82.98680877685547","82.98680877685547","82.98680877685547","82","82","82","88.62521362304688","88.62521362304688","88.62521362304688"
"4300","86","86","86","42.86656112670899","41.972755432128906","43.59601974487305","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4356","","","","","","","84","84","84","88.45542907714844","88.45542907714844","88.45542907714844","84","84","84","81.16120910644531","81.16120910644531","81.16120910644531","84","84","84","83.44483184814453","83.44483184814453","83.44483184814453","84","84","84","86.06209564208984","86.06209564208984","86.06209564208984","84","84","84","81.68120574951172","81.68120574951172","81.68120574951172","84","84","84","90.59066009521484","90.59066009521484","90.59066009521484"
