"ray/tune/info/num_steps_sampled","threshold_type: 10 - _step","threshold_type: 10 - _step__MIN","threshold_type: 10 - _step__MAX","threshold_type: 10 - ray/tune/custom_metrics/is_step_in_real_mean","threshold_type: 10 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","threshold_type: 10 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","threshold_type: 7 - _step","threshold_type: 7 - _step__MIN","threshold_type: 7 - _step__MAX","threshold_type: 7 - ray/tune/custom_metrics/is_step_in_real_mean","threshold_type: 7 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","threshold_type: 7 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","threshold_type: 5 - _step","threshold_type: 5 - _step__MIN","threshold_type: 5 - _step__MAX","threshold_type: 5 - ray/tune/custom_metrics/is_step_in_real_mean","threshold_type: 5 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","threshold_type: 5 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","threshold_type: 3 - _step","threshold_type: 3 - _step__MIN","threshold_type: 3 - _step__MAX","threshold_type: 3 - ray/tune/custom_metrics/is_step_in_real_mean","threshold_type: 3 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","threshold_type: 3 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","threshold_type: 1 - _step","threshold_type: 1 - _step__MIN","threshold_type: 1 - _step__MAX","threshold_type: 1 - ray/tune/custom_metrics/is_step_in_real_mean","threshold_type: 1 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","threshold_type: 1 - ray/tune/custom_metrics/is_step_in_real_mean__MAX"
"1500","14","14","14","0.20000000298023224","0.20000000298023224","0.20000000298023224","14","14","14","0.03999999910593033","0.03999999910593033","0.03999999910593033","14","14","14","0","0","0","14","14","14","0","0","0","14","14","14","0","0","0"
"1600","15","15","15","0.23000000417232513","0.23000000417232513","0.23000000417232513","15","15","15","0.09000000357627869","0.09000000357627869","0.09000000357627869","15","15","15","0","0","0","15","15","15","0","0","0","15","15","15","0","0","0"
"1700","16","16","16","0.1899999976158142","0.1899999976158142","0.1899999976158142","16","16","16","0.019999999552965164","0.019999999552965164","0.019999999552965164","16","16","16","0.019999999552965164","0.019999999552965164","0.019999999552965164","16","16","16","0","0","0","16","16","16","0","0","0"
"1800","17","17","17","0.20999999344348907","0.20999999344348907","0.20999999344348907","17","17","17","0.029999999329447746","0.029999999329447746","0.029999999329447746","17","17","17","0","0","0","17","17","17","0","0","0","17","17","17","0","0","0"
"1900","18","18","18","0.2800000011920929","0.2800000011920929","0.2800000011920929","18","18","18","0.03999999910593033","0.03999999910593033","0.03999999910593033","18","18","18","0.009999999776482582","0.009999999776482582","0.009999999776482582","18","18","18","0","0","0","18","18","18","0","0","0"
"2000","19","19","19","0.23999999463558197","0.23999999463558197","0.23999999463558197","19","19","19","0.03999999910593033","0.03999999910593033","0.03999999910593033","19","19","19","0","0","0","19","19","19","0","0","0","19","19","19","0","0","0"
"2100","20","20","20","0.3199999928474426","0.3199999928474426","0.3199999928474426","20","20","20","0.05000000074505806","0.05000000074505806","0.05000000074505806","20","20","20","0","0","0","20","20","20","0","0","0","20","20","20","0","0","0"
"2200","21","21","21","0.23000000417232513","0.23000000417232513","0.23000000417232513","21","21","21","0.019999999552965164","0.019999999552965164","0.019999999552965164","21","21","21","0","0","0","21","21","21","0","0","0","21","21","21","0","0","0"
"2300","22","22","22","0.2199999988079071","0.2199999988079071","0.2199999988079071","22","22","22","0.019999999552965164","0.019999999552965164","0.019999999552965164","22","22","22","0.019999999552965164","0.019999999552965164","0.019999999552965164","22","22","22","0","0","0","22","22","22","0","0","0"
"2400","23","23","23","0.23000000417232513","0.23000000417232513","0.23000000417232513","23","23","23","0.07000000029802322","0.07000000029802322","0.07000000029802322","23","23","23","0","0","0","23","23","23","0","0","0","23","23","23","0","0","0"
"2500","24","24","24","0.2800000011920929","0.2800000011920929","0.2800000011920929","24","24","24","0.03999999910593033","0.03999999910593033","0.03999999910593033","24","24","24","0","0","0","24","24","24","0.009999999776482582","0.009999999776482582","0.009999999776482582","24","24","24","0","0","0"
"2600","25","25","25","0.2800000011920929","0.2800000011920929","0.2800000011920929","25","25","25","0.05999999865889549","0.05999999865889549","0.05999999865889549","25","25","25","0.009999999776482582","0.009999999776482582","0.009999999776482582","25","25","25","0","0","0","25","25","25","0","0","0"
"2700","26","26","26","0.27000001072883606","0.27000001072883606","0.27000001072883606","26","26","26","0.07000000029802322","0.07000000029802322","0.07000000029802322","26","26","26","0","0","0","26","26","26","0","0","0","26","26","26","0","0","0"
"2800","27","27","27","0.20000000298023224","0.20000000298023224","0.20000000298023224","27","27","27","0.009999999776482582","0.009999999776482582","0.009999999776482582","27","27","27","0.009999999776482582","0.009999999776482582","0.009999999776482582","27","27","27","0","0","0","27","27","27","0","0","0"
"2900","28","28","28","0.2199999988079071","0.2199999988079071","0.2199999988079071","28","28","28","0.03999999910593033","0.03999999910593033","0.03999999910593033","28","28","28","0.009999999776482582","0.009999999776482582","0.009999999776482582","28","28","28","0.009999999776482582","0.009999999776482582","0.009999999776482582","28","28","28","0","0","0"
"3000","29","29","29","0.23999999463558197","0.23999999463558197","0.23999999463558197","29","29","29","0.03999999910593033","0.03999999910593033","0.03999999910593033","29","29","29","0","0","0","29","29","29","0","0","0","29","29","29","0","0","0"
"3100","30","30","30","0.3199999928474426","0.3199999928474426","0.3199999928474426","30","30","30","0.05000000074505806","0.05000000074505806","0.05000000074505806","30","30","30","0.019999999552965164","0.019999999552965164","0.019999999552965164","30","30","30","0","0","0","30","30","30","0","0","0"
"3200","31","31","31","0.2800000011920929","0.2800000011920929","0.2800000011920929","31","31","31","0.03999999910593033","0.03999999910593033","0.03999999910593033","31","31","31","0","0","0","31","31","31","0","0","0","31","31","31","0","0","0"
"3300","32","32","32","0.23999999463558197","0.23999999463558197","0.23999999463558197","32","32","32","0.029999999329447746","0.029999999329447746","0.029999999329447746","32","32","32","0","0","0","32","32","32","0","0","0","32","32","32","0","0","0"
"3400","33","33","33","0.25","0.25","0.25","33","33","33","0.029999999329447746","0.029999999329447746","0.029999999329447746","33","33","33","0","0","0","33","33","33","0","0","0","33","33","33","0","0","0"
"3500","34","34","34","0.33000001311302185","0.33000001311302185","0.33000001311302185","34","34","34","0.009999999776482582","0.009999999776482582","0.009999999776482582","34","34","34","0","0","0","34","34","34","0","0","0","34","34","34","0","0","0"
"3600","35","35","35","0.25999999046325684","0.25999999046325684","0.25999999046325684","35","35","35","0.05000000074505806","0.05000000074505806","0.05000000074505806","35","35","35","0","0","0","35","35","35","0","0","0","35","35","35","0","0","0"
"3700","36","36","36","0.25999999046325684","0.25999999046325684","0.25999999046325684","36","36","36","0.029999999329447746","0.029999999329447746","0.029999999329447746","36","36","36","0","0","0","36","36","36","0","0","0","36","36","36","0","0","0"
"3800","37","37","37","0.4000000059604645","0.4000000059604645","0.4000000059604645","37","37","37","0.05000000074505806","0.05000000074505806","0.05000000074505806","37","37","37","0.009999999776482582","0.009999999776482582","0.009999999776482582","37","37","37","0","0","0","37","37","37","0","0","0"
"3900","38","38","38","0.33000001311302185","0.33000001311302185","0.33000001311302185","38","38","38","0.05999999865889549","0.05999999865889549","0.05999999865889549","38","38","38","0.009999999776482582","0.009999999776482582","0.009999999776482582","38","38","38","0","0","0","38","38","38","0","0","0"
"4000","39","39","39","0.30000001192092896","0.30000001192092896","0.30000001192092896","39","39","39","0.07000000029802322","0.07000000029802322","0.07000000029802322","39","39","39","0","0","0","39","39","39","0","0","0","39","39","39","0","0","0"
"4100","40","40","40","0.2800000011920929","0.2800000011920929","0.2800000011920929","40","40","40","0.019999999552965164","0.019999999552965164","0.019999999552965164","40","40","40","0.009999999776482582","0.009999999776482582","0.009999999776482582","40","40","40","0","0","0","40","40","40","0","0","0"
"4200","41","41","41","0.30000001192092896","0.30000001192092896","0.30000001192092896","41","41","41","0.03999999910593033","0.03999999910593033","0.03999999910593033","41","41","41","0.009999999776482582","0.009999999776482582","0.009999999776482582","41","41","41","0","0","0","41","41","41","0","0","0"
"4300","42","42","42","0.2800000011920929","0.2800000011920929","0.2800000011920929","42","42","42","0.05000000074505806","0.05000000074505806","0.05000000074505806","42","42","42","0","0","0","42","42","42","0","0","0","42","42","42","0","0","0"
"4400","43","43","43","0.27000001072883606","0.27000001072883606","0.27000001072883606","43","43","43","0.029999999329447746","0.029999999329447746","0.029999999329447746","43","43","43","0.009999999776482582","0.009999999776482582","0.009999999776482582","43","43","43","0","0","0","43","43","43","0","0","0"
"4500","44","44","44","0.3100000023841858","0.3100000023841858","0.3100000023841858","44","44","44","0.019999999552965164","0.019999999552965164","0.019999999552965164","44","44","44","0","0","0","44","44","44","0","0","0","44","44","44","0","0","0"
"4600","45","45","45","0.2199999988079071","0.2199999988079071","0.2199999988079071","45","45","45","0.05000000074505806","0.05000000074505806","0.05000000074505806","45","45","45","0","0","0","45","45","45","0","0","0","45","45","45","0","0","0"
"4700","46","46","46","0.25","0.25","0.25","46","46","46","0.07000000029802322","0.07000000029802322","0.07000000029802322","46","46","46","0","0","0","46","46","46","0","0","0","46","46","46","0","0","0"
"4800","47","47","47","0.3400000035762787","0.3400000035762787","0.3400000035762787","47","47","47","0.10000000149011612","0.10000000149011612","0.10000000149011612","47","47","47","0","0","0","47","47","47","0","0","0","47","47","47","0","0","0"
"4900","48","48","48","0.27000001072883606","0.27000001072883606","0.27000001072883606","48","48","48","0.05000000074505806","0.05000000074505806","0.05000000074505806","48","48","48","0","0","0","48","48","48","0","0","0","48","48","48","0","0","0"
"5000","49","49","49","0.3400000035762787","0.3400000035762787","0.3400000035762787","49","49","49","0.009999999776482582","0.009999999776482582","0.009999999776482582","49","49","49","0.009999999776482582","0.009999999776482582","0.009999999776482582","49","49","49","0","0","0","49","49","49","0","0","0"
"5100","50","50","50","0.3100000023841858","0.3100000023841858","0.3100000023841858","50","50","50","0.019999999552965164","0.019999999552965164","0.019999999552965164","50","50","50","0.019999999552965164","0.019999999552965164","0.019999999552965164","50","50","50","0","0","0","50","50","50","0","0","0"
"5200","51","51","51","0.4099999964237213","0.4099999964237213","0.4099999964237213","51","51","51","0.10999999940395355","0.10999999940395355","0.10999999940395355","51","51","51","0.009999999776482582","0.009999999776482582","0.009999999776482582","51","51","51","0","0","0","51","51","51","0","0","0"
"5300","52","52","52","0.36000001430511475","0.36000001430511475","0.36000001430511475","52","52","52","0.029999999329447746","0.029999999329447746","0.029999999329447746","52","52","52","0","0","0","52","52","52","0","0","0","52","52","52","0","0","0"
"5400","53","53","53","0.3400000035762787","0.3400000035762787","0.3400000035762787","53","53","53","0.07000000029802322","0.07000000029802322","0.07000000029802322","53","53","53","0.019999999552965164","0.019999999552965164","0.019999999552965164","53","53","53","0","0","0","53","53","53","0","0","0"
"5500","54","54","54","0.27000001072883606","0.27000001072883606","0.27000001072883606","54","54","54","0.03999999910593033","0.03999999910593033","0.03999999910593033","54","54","54","0","0","0","54","54","54","0","0","0","54","54","54","0","0","0"
"5600","55","55","55","0.4000000059604645","0.4000000059604645","0.4000000059604645","55","55","55","0.07999999821186066","0.07999999821186066","0.07999999821186066","55","55","55","0.019999999552965164","0.019999999552965164","0.019999999552965164","55","55","55","0","0","0","55","55","55","0","0","0"
"5700","56","56","56","0.49000000953674316","0.49000000953674316","0.49000000953674316","56","56","56","0.03999999910593033","0.03999999910593033","0.03999999910593033","56","56","56","0","0","0","56","56","56","0","0","0","56","56","56","0","0","0"
"5800","57","57","57","0.41999998688697815","0.41999998688697815","0.41999998688697815","57","57","57","0.07000000029802322","0.07000000029802322","0.07000000029802322","57","57","57","0.009999999776482582","0.009999999776482582","0.009999999776482582","57","57","57","0","0","0","57","57","57","0","0","0"
"5900","58","58","58","0.3199999928474426","0.3199999928474426","0.3199999928474426","58","58","58","0.05999999865889549","0.05999999865889549","0.05999999865889549","58","58","58","0","0","0","58","58","58","0","0","0","58","58","58","0","0","0"
"6000","59","59","59","0.38999998569488525","0.38999998569488525","0.38999998569488525","59","59","59","0.10999999940395355","0.10999999940395355","0.10999999940395355","59","59","59","0.019999999552965164","0.019999999552965164","0.019999999552965164","59","59","59","0","0","0","59","59","59","0","0","0"
"6100","60","60","60","0.4300000071525574","0.4300000071525574","0.4300000071525574","60","60","60","0.019999999552965164","0.019999999552965164","0.019999999552965164","60","60","60","0","0","0","60","60","60","0","0","0","60","60","60","0","0","0"
"6200","61","61","61","0.44999998807907104","0.44999998807907104","0.44999998807907104","61","61","61","0.05000000074505806","0.05000000074505806","0.05000000074505806","61","61","61","0","0","0","61","61","61","0","0","0","61","61","61","0","0","0"
"6300","62","62","62","0.3700000047683716","0.3700000047683716","0.3700000047683716","62","62","62","0.029999999329447746","0.029999999329447746","0.029999999329447746","62","62","62","0.009999999776482582","0.009999999776482582","0.009999999776482582","62","62","62","0.009999999776482582","0.009999999776482582","0.009999999776482582","62","62","62","0","0","0"
"6400","63","63","63","0.4000000059604645","0.4000000059604645","0.4000000059604645","63","63","63","0.07000000029802322","0.07000000029802322","0.07000000029802322","63","63","63","0.019999999552965164","0.019999999552965164","0.019999999552965164","63","63","63","0","0","0","63","63","63","0","0","0"
"6500","64","64","64","0.38999998569488525","0.38999998569488525","0.38999998569488525","64","64","64","0.10000000149011612","0.10000000149011612","0.10000000149011612","64","64","64","0.009999999776482582","0.009999999776482582","0.009999999776482582","64","64","64","0","0","0","64","64","64","0","0","0"
"6600","65","65","65","0.41999998688697815","0.41999998688697815","0.41999998688697815","65","65","65","0.05999999865889549","0.05999999865889549","0.05999999865889549","65","65","65","0.019999999552965164","0.019999999552965164","0.019999999552965164","65","65","65","0","0","0","65","65","65","0","0","0"
"6700","66","66","66","0.38999998569488525","0.38999998569488525","0.38999998569488525","66","66","66","0.07999999821186066","0.07999999821186066","0.07999999821186066","66","66","66","0.019999999552965164","0.019999999552965164","0.019999999552965164","66","66","66","0","0","0","66","66","66","0","0","0"
"6800","67","67","67","0.41999998688697815","0.41999998688697815","0.41999998688697815","67","67","67","0.09000000357627869","0.09000000357627869","0.09000000357627869","67","67","67","0.029999999329447746","0.029999999329447746","0.029999999329447746","67","67","67","0","0","0","67","67","67","0","0","0"
"6900","68","68","68","0.3799999952316284","0.3799999952316284","0.3799999952316284","68","68","68","0.009999999776482582","0.009999999776482582","0.009999999776482582","68","68","68","0.019999999552965164","0.019999999552965164","0.019999999552965164","68","68","68","0","0","0","68","68","68","0","0","0"
"7000","69","69","69","0.47999998927116394","0.47999998927116394","0.47999998927116394","69","69","69","0.03999999910593033","0.03999999910593033","0.03999999910593033","69","69","69","0","0","0","69","69","69","0","0","0","69","69","69","0","0","0"
"7100","70","70","70","0.3700000047683716","0.3700000047683716","0.3700000047683716","70","70","70","0.10999999940395355","0.10999999940395355","0.10999999940395355","70","70","70","0.029999999329447746","0.029999999329447746","0.029999999329447746","70","70","70","0","0","0","70","70","70","0","0","0"
"7200","71","71","71","0.38999998569488525","0.38999998569488525","0.38999998569488525","71","71","71","0.05999999865889549","0.05999999865889549","0.05999999865889549","71","71","71","0","0","0","71","71","71","0.009999999776482582","0.009999999776482582","0.009999999776482582","71","71","71","0","0","0"
"7300","72","72","72","0.3799999952316284","0.3799999952316284","0.3799999952316284","72","72","72","0.07000000029802322","0.07000000029802322","0.07000000029802322","72","72","72","0.009999999776482582","0.009999999776482582","0.009999999776482582","72","72","72","0","0","0","72","72","72","0","0","0"
"7400","73","73","73","0.41999998688697815","0.41999998688697815","0.41999998688697815","73","73","73","0.07000000029802322","0.07000000029802322","0.07000000029802322","73","73","73","0.009999999776482582","0.009999999776482582","0.009999999776482582","73","73","73","0","0","0","73","73","73","0","0","0"
"7500","74","74","74","0.4000000059604645","0.4000000059604645","0.4000000059604645","74","74","74","0.07000000029802322","0.07000000029802322","0.07000000029802322","74","74","74","0.009999999776482582","0.009999999776482582","0.009999999776482582","74","74","74","0","0","0","74","74","74","0","0","0"
"7600","75","75","75","0.44999998807907104","0.44999998807907104","0.44999998807907104","75","75","75","0.07000000029802322","0.07000000029802322","0.07000000029802322","75","75","75","0.009999999776482582","0.009999999776482582","0.009999999776482582","75","75","75","0","0","0","75","75","75","0","0","0"
"7700","76","76","76","0.4399999976158142","0.4399999976158142","0.4399999976158142","76","76","76","0.07999999821186066","0.07999999821186066","0.07999999821186066","76","76","76","0","0","0","76","76","76","0","0","0","76","76","76","0","0","0"
"7800","77","77","77","0.4000000059604645","0.4000000059604645","0.4000000059604645","77","77","77","0.07999999821186066","0.07999999821186066","0.07999999821186066","77","77","77","0.029999999329447746","0.029999999329447746","0.029999999329447746","77","77","77","0","0","0","77","77","77","0","0","0"
"7900","78","78","78","0.44999998807907104","0.44999998807907104","0.44999998807907104","78","78","78","0.09000000357627869","0.09000000357627869","0.09000000357627869","78","78","78","0","0","0","78","78","78","0","0","0","78","78","78","0","0","0"
"8000","79","79","79","0.46000000834465027","0.46000000834465027","0.46000000834465027","79","79","79","0.10000000149011612","0.10000000149011612","0.10000000149011612","79","79","79","0.019999999552965164","0.019999999552965164","0.019999999552965164","79","79","79","0","0","0","79","79","79","0","0","0"
"8100","80","80","80","0.5","0.5","0.5","80","80","80","0.10000000149011612","0.10000000149011612","0.10000000149011612","80","80","80","0.03999999910593033","0.03999999910593033","0.03999999910593033","80","80","80","0","0","0","80","80","80","0","0","0"
"8200","81","81","81","0.3400000035762787","0.3400000035762787","0.3400000035762787","81","81","81","0.09000000357627869","0.09000000357627869","0.09000000357627869","81","81","81","0.009999999776482582","0.009999999776482582","0.009999999776482582","81","81","81","0","0","0","81","81","81","0","0","0"
"8300","82","82","82","0.44999998807907104","0.44999998807907104","0.44999998807907104","82","82","82","0.05999999865889549","0.05999999865889549","0.05999999865889549","82","82","82","0.009999999776482582","0.009999999776482582","0.009999999776482582","82","82","82","0","0","0","82","82","82","0","0","0"
"8400","83","83","83","0.5299999713897705","0.5299999713897705","0.5299999713897705","83","83","83","0.07999999821186066","0.07999999821186066","0.07999999821186066","83","83","83","0.019999999552965164","0.019999999552965164","0.019999999552965164","83","83","83","0","0","0","83","83","83","0","0","0"
"8500","84","84","84","0.46000000834465027","0.46000000834465027","0.46000000834465027","84","84","84","0.14000000059604645","0.14000000059604645","0.14000000059604645","84","84","84","0.019999999552965164","0.019999999552965164","0.019999999552965164","84","84","84","0","0","0","84","84","84","0","0","0"
"8600","85","85","85","0.4000000059604645","0.4000000059604645","0.4000000059604645","85","85","85","0.12999999523162842","0.12999999523162842","0.12999999523162842","85","85","85","0","0","0","85","85","85","0","0","0","85","85","85","0","0","0"
"8700","86","86","86","0.5299999713897705","0.5299999713897705","0.5299999713897705","86","86","86","0.10000000149011612","0.10000000149011612","0.10000000149011612","86","86","86","0.009999999776482582","0.009999999776482582","0.009999999776482582","86","86","86","0.009999999776482582","0.009999999776482582","0.009999999776482582","86","86","86","0","0","0"
"8800","87","87","87","0.550000011920929","0.550000011920929","0.550000011920929","87","87","87","0.10000000149011612","0.10000000149011612","0.10000000149011612","87","87","87","0.029999999329447746","0.029999999329447746","0.029999999329447746","87","87","87","0","0","0","87","87","87","0","0","0"
"8900","88","88","88","0.4000000059604645","0.4000000059604645","0.4000000059604645","88","88","88","0.09000000357627869","0.09000000357627869","0.09000000357627869","88","88","88","0.019999999552965164","0.019999999552965164","0.019999999552965164","88","88","88","0","0","0","88","88","88","0","0","0"
"9000","89","89","89","0.49000000953674316","0.49000000953674316","0.49000000953674316","89","89","89","0.07000000029802322","0.07000000029802322","0.07000000029802322","89","89","89","0.029999999329447746","0.029999999329447746","0.029999999329447746","89","89","89","0","0","0","89","89","89","0","0","0"
"9100","90","90","90","0.4699999988079071","0.4699999988079071","0.4699999988079071","90","90","90","0.10000000149011612","0.10000000149011612","0.10000000149011612","90","90","90","0.019999999552965164","0.019999999552965164","0.019999999552965164","90","90","90","0","0","0","90","90","90","0","0","0"
"9200","91","91","91","0.5099999904632568","0.5099999904632568","0.5099999904632568","91","91","91","0.10999999940395355","0.10999999940395355","0.10999999940395355","91","91","91","0.019999999552965164","0.019999999552965164","0.019999999552965164","91","91","91","0.009999999776482582","0.009999999776482582","0.009999999776482582","91","91","91","0","0","0"
"9300","92","92","92","0.5600000023841858","0.5600000023841858","0.5600000023841858","92","92","92","0.10000000149011612","0.10000000149011612","0.10000000149011612","92","92","92","0.009999999776482582","0.009999999776482582","0.009999999776482582","92","92","92","0","0","0","92","92","92","0","0","0"
"9400","93","93","93","0.5199999809265137","0.5199999809265137","0.5199999809265137","93","93","93","0.10000000149011612","0.10000000149011612","0.10000000149011612","93","93","93","0.029999999329447746","0.029999999329447746","0.029999999329447746","93","93","93","0","0","0","93","93","93","0","0","0"
"9500","94","94","94","0.550000011920929","0.550000011920929","0.550000011920929","94","94","94","0.2199999988079071","0.2199999988079071","0.2199999988079071","94","94","94","0.019999999552965164","0.019999999552965164","0.019999999552965164","94","94","94","0","0","0","94","94","94","0","0","0"
"9600","95","95","95","0.550000011920929","0.550000011920929","0.550000011920929","95","95","95","0.11999999731779099","0.11999999731779099","0.11999999731779099","95","95","95","0.029999999329447746","0.029999999329447746","0.029999999329447746","95","95","95","0.019999999552965164","0.019999999552965164","0.019999999552965164","95","95","95","0","0","0"
"9700","96","96","96","0.5299999713897705","0.5299999713897705","0.5299999713897705","96","96","96","0.10000000149011612","0.10000000149011612","0.10000000149011612","96","96","96","0.009999999776482582","0.009999999776482582","0.009999999776482582","96","96","96","0","0","0","96","96","96","0","0","0"
"9800","97","97","97","0.6299999952316284","0.6299999952316284","0.6299999952316284","97","97","97","0.15000000596046448","0.15000000596046448","0.15000000596046448","97","97","97","0.03999999910593033","0.03999999910593033","0.03999999910593033","97","97","97","0","0","0","97","97","97","0","0","0"
"9900","98","98","98","0.6600000262260437","0.6600000262260437","0.6600000262260437","98","98","98","0.12999999523162842","0.12999999523162842","0.12999999523162842","98","98","98","0.03999999910593033","0.03999999910593033","0.03999999910593033","98","98","98","0","0","0","98","98","98","0","0","0"
"10000","99","99","99","0.550000011920929","0.550000011920929","0.550000011920929","99","99","99","0.14000000059604645","0.14000000059604645","0.14000000059604645","99","99","99","0.07000000029802322","0.07000000029802322","0.07000000029802322","99","99","99","0.009999999776482582","0.009999999776482582","0.009999999776482582","99","99","99","0","0","0"
"10100","100","100","100","0.7099999785423279","0.7099999785423279","0.7099999785423279","100","100","100","0.17000000178813934","0.17000000178813934","0.17000000178813934","100","100","100","0.11999999731779099","0.11999999731779099","0.11999999731779099","100","100","100","0.05000000074505806","0.05000000074505806","0.05000000074505806","100","100","100","0","0","0"
"10200","101","101","101","0.800000011920929","0.800000011920929","0.800000011920929","101","101","101","0.3100000023841858","0.3100000023841858","0.3100000023841858","101","101","101","0.10000000149011612","0.10000000149011612","0.10000000149011612","101","101","101","0.03999999910593033","0.03999999910593033","0.03999999910593033","101","101","101","0","0","0"
