"ray/tune/info/num_steps_sampled","threshold_type: concave - _step","threshold_type: concave - _step__MIN","threshold_type: concave - _step__MAX","threshold_type: concave - ray/tune/custom_metrics/prediction_error_mean","threshold_type: concave - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: concave - ray/tune/custom_metrics/prediction_error_mean__MAX","threshold_type: convex - _step","threshold_type: convex - _step__MIN","threshold_type: convex - _step__MAX","threshold_type: convex - ray/tune/custom_metrics/prediction_error_mean","threshold_type: convex - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: convex - ray/tune/custom_metrics/prediction_error_mean__MAX","threshold_type: s - _step","threshold_type: s - _step__MIN","threshold_type: s - _step__MAX","threshold_type: s - ray/tune/custom_metrics/prediction_error_mean","threshold_type: s - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: s - ray/tune/custom_metrics/prediction_error_mean__MAX","threshold_type: hard - _step","threshold_type: hard - _step__MIN","threshold_type: hard - _step__MAX","threshold_type: hard - ray/tune/custom_metrics/prediction_error_mean","threshold_type: hard - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: hard - ray/tune/custom_metrics/prediction_error_mean__MAX"
"1400","13","13","13","-0.0025980910286307335","-0.0025980910286307335","-0.0025980910286307335","13","13","13","-0.00016567209968343377","-0.00016567209968343377","-0.00016567209968343377","13","13","13","0.006774275563657284","0.006774275563657284","0.006774275563657284","13","13","13","0.01831965520977974","0.01831965520977974","0.01831965520977974"
"1500","14","14","14","0.01373172365128994","0.01373172365128994","0.01373172365128994","14","14","14","0.00832892581820488","0.00832892581820488","0.00832892581820488","14","14","14","0.017554856836795807","0.017554856836795807","0.017554856836795807","14","14","14","0.0024399422109127045","0.0024399422109127045","0.0024399422109127045"
"1600","15","15","15","-0.005355503875762224","-0.005355503875762224","-0.005355503875762224","15","15","15","0.011479627341032028","0.011479627341032028","0.011479627341032028","15","15","15","0.01611427403986454","0.01611427403986454","0.01611427403986454","15","15","15","0.0004908849368803203","0.0004908849368803203","0.0004908849368803203"
"1700","16","16","16","0.02226766012609005","0.02226766012609005","0.02226766012609005","16","16","16","0.013704350218176842","0.013704350218176842","0.013704350218176842","16","16","16","0.020557649433612823","0.020557649433612823","0.020557649433612823","16","16","16","0.006125150714069605","0.006125150714069605","0.006125150714069605"
"1800","17","17","17","0.00522398529574275","0.00522398529574275","0.00522398529574275","17","17","17","-0.003591941436752677","-0.003591941436752677","-0.003591941436752677","17","17","17","0.01731305941939354","0.01731305941939354","0.01731305941939354","17","17","17","0.012175840325653553","0.012175840325653553","0.012175840325653553"
"1900","18","18","18","0.01979728601872921","0.01979728601872921","0.01979728601872921","18","18","18","0.018245531246066093","0.018245531246066093","0.018245531246066093","18","18","18","0.021429667249321938","0.021429667249321938","0.021429667249321938","18","18","18","0.020026687532663345","0.020026687532663345","0.020026687532663345"
"2000","19","19","19","0.003939576912671328","0.003939576912671328","0.003939576912671328","19","19","19","0.0033103665336966515","0.0033103665336966515","0.0033103665336966515","19","19","19","0.017825545743107796","0.017825545743107796","0.017825545743107796","19","19","19","0.0037798909470438957","0.0037798909470438957","0.0037798909470438957"
"2100","20","20","20","0.00996951013803482","0.00996951013803482","0.00996951013803482","20","20","20","-0.001790146459825337","-0.001790146459825337","-0.001790146459825337","20","20","20","0.02036306820809841","0.02036306820809841","0.02036306820809841","20","20","20","0.022488242015242577","0.022488242015242577","0.022488242015242577"
"2200","21","21","21","0.015640029683709145","0.015640029683709145","0.015640029683709145","21","21","21","0.01293350663036108","0.01293350663036108","0.01293350663036108","21","21","21","0.01602225750684738","0.01602225750684738","0.01602225750684738","21","21","21","0.0018331259489059448","0.0018331259489059448","0.0018331259489059448"
"2300","22","22","22","0.011352763511240482","0.011352763511240482","0.011352763511240482","22","22","22","0.015044129453599453","0.015044129453599453","0.015044129453599453","22","22","22","0.006593931932002306","0.006593931932002306","0.006593931932002306","22","22","22","0.0035485264379531145","0.0035485264379531145","0.0035485264379531145"
"2400","23","23","23","0.007213131990283728","0.007213131990283728","0.007213131990283728","23","23","23","-0.0021806927397847176","-0.0021806927397847176","-0.0021806927397847176","23","23","23","0.015929099172353745","0.015929099172353745","0.015929099172353745","23","23","23","0.01747763901948929","0.01747763901948929","0.01747763901948929"
"2500","24","24","24","0.016907164826989174","0.016907164826989174","0.016907164826989174","24","24","24","0.011013480834662914","0.011013480834662914","0.011013480834662914","24","24","24","0.022671140730381012","0.022671140730381012","0.022671140730381012","24","24","24","-0.00001238895765709458","-0.00001238895765709458","-0.00001238895765709458"
"2600","25","25","25","0.015237635932862759","0.015237635932862759","0.015237635932862759","25","25","25","-0.0001762788015184924","-0.0001762788015184924","-0.0001762788015184924","25","25","25","0.011682920157909393","0.011682920157909393","0.011682920157909393","25","25","25","0.014310098253190517","0.014310098253190517","0.014310098253190517"
"2700","26","26","26","0.020645074546337128","0.020645074546337128","0.020645074546337128","26","26","26","-0.0006265739793889225","-0.0006265739793889225","-0.0006265739793889225","26","26","26","0.015246723778545856","0.015246723778545856","0.015246723778545856","26","26","26","0.012410113587975502","0.012410113587975502","0.012410113587975502"
"2800","27","27","27","0.011893481947481632","0.011893481947481632","0.011893481947481632","27","27","27","0.016685614362359047","0.016685614362359047","0.016685614362359047","27","27","27","0.010985245928168297","0.010985245928168297","0.010985245928168297","27","27","27","0.030563246458768845","0.030563246458768845","0.030563246458768845"
"2900","28","28","28","0.021875351667404175","0.021875351667404175","0.021875351667404175","28","28","28","0.005021130200475454","0.005021130200475454","0.005021130200475454","28","28","28","0.01520461030304432","0.01520461030304432","0.01520461030304432","28","28","28","0.012207056395709515","0.012207056395709515","0.012207056395709515"
"3000","29","29","29","0.019497843459248543","0.019497843459248543","0.019497843459248543","29","29","29","0.010015587322413921","0.010015587322413921","0.010015587322413921","29","29","29","0.01584392413496971","0.01584392413496971","0.01584392413496971","29","29","29","0.028294501826167107","0.028294501826167107","0.028294501826167107"
"3100","30","30","30","0.009993322193622589","0.009993322193622589","0.009993322193622589","30","30","30","0.0008167379419319332","0.0008167379419319332","0.0008167379419319332","30","30","30","0.015010444447398186","0.015010444447398186","0.015010444447398186","30","30","30","0.004722703248262405","0.004722703248262405","0.004722703248262405"
"3200","31","31","31","0.01139101292937994","0.01139101292937994","0.01139101292937994","31","31","31","0.022117655724287033","0.022117655724287033","0.022117655724287033","31","31","31","0.012175415642559528","0.012175415642559528","0.012175415642559528","31","31","31","0.004261265508830547","0.004261265508830547","0.004261265508830547"
"3300","32","32","32","0.023922694846987724","0.023922694846987724","0.023922694846987724","32","32","32","0.012441931292414665","0.012441931292414665","0.012441931292414665","32","32","32","0.010615927167236805","0.010615927167236805","0.010615927167236805","32","32","32","0.00387953850440681","0.00387953850440681","0.00387953850440681"
"3400","33","33","33","0.0007987135904841125","0.0007987135904841125","0.0007987135904841125","33","33","33","0.013909618370234966","0.013909618370234966","0.013909618370234966","33","33","33","0.0184535700827837","0.0184535700827837","0.0184535700827837","33","33","33","0.006774000357836485","0.006774000357836485","0.006774000357836485"
"3500","34","34","34","0.01331610418856144","0.01331610418856144","0.01331610418856144","34","34","34","0.03884321451187134","0.03884321451187134","0.03884321451187134","34","34","34","0.006051620934158564","0.006051620934158564","0.006051620934158564","34","34","34","0.020362941548228264","0.020362941548228264","0.020362941548228264"
"3600","35","35","35","0.011838333681225777","0.011838333681225777","0.011838333681225777","35","35","35","0.016460368409752846","0.016460368409752846","0.016460368409752846","35","35","35","0.01374424621462822","0.01374424621462822","0.01374424621462822","35","35","35","0.005409149918705225","0.005409149918705225","0.005409149918705225"
"3700","36","36","36","0.022759653627872467","0.022759653627872467","0.022759653627872467","36","36","36","0.011569925583899021","0.011569925583899021","0.011569925583899021","36","36","36","0.011384217068552971","0.011384217068552971","0.011384217068552971","36","36","36","0.012464682571589947","0.012464682571589947","0.012464682571589947"
"3800","37","37","37","0.012329429388046265","0.012329429388046265","0.012329429388046265","37","37","37","-0.007879950106143951","-0.007879950106143951","-0.007879950106143951","37","37","37","0.010643001645803452","0.010643001645803452","0.010643001645803452","37","37","37","-0.0020302440971136093","-0.0020302440971136093","-0.0020302440971136093"
"3900","38","38","38","0.017979096621274948","0.017979096621274948","0.017979096621274948","38","38","38","0.016803938895463943","0.016803938895463943","0.016803938895463943","38","38","38","0.014893735758960247","0.014893735758960247","0.014893735758960247","38","38","38","0.016638675704598427","0.016638675704598427","0.016638675704598427"
"4000","39","39","39","0.00153997668530792","0.00153997668530792","0.00153997668530792","39","39","39","0.010248235426843166","0.010248235426843166","0.010248235426843166","39","39","39","0.02889930084347725","0.02889930084347725","0.02889930084347725","39","39","39","0.018784062936902046","0.018784062936902046","0.018784062936902046"
"4100","40","40","40","0.011952254921197891","0.011952254921197891","0.011952254921197891","40","40","40","0.019319025799632072","0.019319025799632072","0.019319025799632072","40","40","40","0.012478266842663288","0.012478266842663288","0.012478266842663288","40","40","40","0.01888720504939556","0.01888720504939556","0.01888720504939556"
"4200","41","41","41","0.005625165067613125","0.005625165067613125","0.005625165067613125","41","41","41","0.006365923676639795","0.006365923676639795","0.006365923676639795","41","41","41","0.02274934947490692","0.02274934947490692","0.02274934947490692","41","41","41","0.0005735547165386379","0.0005735547165386379","0.0005735547165386379"
"4300","42","42","42","0.016896435990929604","0.016896435990929604","0.016896435990929604","42","42","42","0.00818982906639576","0.00818982906639576","0.00818982906639576","42","42","42","0.010409663431346416","0.010409663431346416","0.010409663431346416","42","42","42","0.013375576585531235","0.013375576585531235","0.013375576585531235"
"4400","43","43","43","0.01667528599500656","0.01667528599500656","0.01667528599500656","43","43","43","-0.008652775548398495","-0.008652775548398495","-0.008652775548398495","43","43","43","0.022991430014371872","0.022991430014371872","0.022991430014371872","43","43","43","0.0039378260262310505","0.0039378260262310505","0.0039378260262310505"
"4500","44","44","44","0.007081974763423204","0.007081974763423204","0.007081974763423204","44","44","44","-0.0027310322038829327","-0.0027310322038829327","-0.0027310322038829327","44","44","44","0.011780043132603168","0.011780043132603168","0.011780043132603168","44","44","44","0.011782116256654263","0.011782116256654263","0.011782116256654263"
"4600","45","45","45","0.0025640728417783976","0.0025640728417783976","0.0025640728417783976","45","45","45","0.002491851570084691","0.002491851570084691","0.002491851570084691","45","45","45","0.012185189872980118","0.012185189872980118","0.012185189872980118","45","45","45","0.007511665113270283","0.007511665113270283","0.007511665113270283"
"4700","46","46","46","0.018102141097187996","0.018102141097187996","0.018102141097187996","46","46","46","0.010114481672644615","0.010114481672644615","0.010114481672644615","46","46","46","0.005692844744771719","0.005692844744771719","0.005692844744771719","46","46","46","0.014878231100738049","0.014878231100738049","0.014878231100738049"
"4800","47","47","47","0.009509154595434666","0.009509154595434666","0.009509154595434666","47","47","47","0.009979451075196266","0.009979451075196266","0.009979451075196266","47","47","47","0.014457703568041325","0.014457703568041325","0.014457703568041325","47","47","47","0.02174069732427597","0.02174069732427597","0.02174069732427597"
"4900","48","48","48","0.0007998024811968207","0.0007998024811968207","0.0007998024811968207","48","48","48","0.027744626626372337","0.027744626626372337","0.027744626626372337","48","48","48","0.009407269768416882","0.009407269768416882","0.009407269768416882","48","48","48","0.0008141467114910483","0.0008141467114910483","0.0008141467114910483"
"5000","49","49","49","-0.004177551716566086","-0.004177551716566086","-0.004177551716566086","49","49","49","0.006990852300077677","0.006990852300077677","0.006990852300077677","49","49","49","0.00425818283110857","0.00425818283110857","0.00425818283110857","49","49","49","0.006394240539520979","0.006394240539520979","0.006394240539520979"
"5100","50","50","50","0.020761441439390182","0.020761441439390182","0.020761441439390182","50","50","50","0.016150454059243202","0.016150454059243202","0.016150454059243202","50","50","50","0.0010837954469025135","0.0010837954469025135","0.0010837954469025135","50","50","50","0.023816591128706932","0.023816591128706932","0.023816591128706932"
"5200","51","51","51","0.007806605659425259","0.007806605659425259","0.007806605659425259","51","51","51","0.006983802188187838","0.006983802188187838","0.006983802188187838","51","51","51","0.002144021447747946","0.002144021447747946","0.002144021447747946","51","51","51","0.020858997479081154","0.020858997479081154","0.020858997479081154"
"5300","52","52","52","0.00906887836754322","0.00906887836754322","0.00906887836754322","52","52","52","0.0004910322022624314","0.0004910322022624314","0.0004910322022624314","52","52","52","0.021926436573266983","0.021926436573266983","0.021926436573266983","52","52","52","0.028480084612965584","0.028480084612965584","0.028480084612965584"
"5400","53","53","53","0.01617547869682312","0.01617547869682312","0.01617547869682312","53","53","53","0.025140848010778427","0.025140848010778427","0.025140848010778427","53","53","53","0.009800136089324951","0.009800136089324951","0.009800136089324951","53","53","53","0.010330947116017342","0.010330947116017342","0.010330947116017342"
"5500","54","54","54","0.02038339339196682","0.02038339339196682","0.02038339339196682","54","54","54","0.028273168951272964","0.028273168951272964","0.028273168951272964","54","54","54","0.004592520650476217","0.004592520650476217","0.004592520650476217","54","54","54","-0.004134278278797865","-0.004134278278797865","-0.004134278278797865"
"5600","55","55","55","0.008471854031085968","0.008471854031085968","0.008471854031085968","55","55","55","0.0037050291430205107","0.0037050291430205107","0.0037050291430205107","55","55","55","0.01923227310180664","0.01923227310180664","0.01923227310180664","55","55","55","0.01955198124051094","0.01955198124051094","0.01955198124051094"
"5700","56","56","56","-0.005375951062887907","-0.005375951062887907","-0.005375951062887907","56","56","56","0.027894923463463783","0.027894923463463783","0.027894923463463783","56","56","56","0.015699855983257294","0.015699855983257294","0.015699855983257294","56","56","56","0.015988506376743317","0.015988506376743317","0.015988506376743317"
"5800","57","57","57","0.014998585917055607","0.014998585917055607","0.014998585917055607","57","57","57","-0.00009177654283121228","-0.00009177654283121228","-0.00009177654283121228","57","57","57","0.009937377646565437","0.009937377646565437","0.009937377646565437","57","57","57","0.0005537861143238842","0.0005537861143238842","0.0005537861143238842"
"5900","58","58","58","0.017668001353740692","0.017668001353740692","0.017668001353740692","58","58","58","0.016569560393691063","0.016569560393691063","0.016569560393691063","58","58","58","0.009426457807421684","0.009426457807421684","0.009426457807421684","58","58","58","0.020258760079741478","0.020258760079741478","0.020258760079741478"
"6000","59","59","59","0.013092681765556335","0.013092681765556335","0.013092681765556335","59","59","59","0.00709705101326108","0.00709705101326108","0.00709705101326108","59","59","59","0.00957629643380642","0.00957629643380642","0.00957629643380642","59","59","59","0.026022324338555336","0.026022324338555336","0.026022324338555336"
"6100","60","60","60","0.02523803524672985","0.02523803524672985","0.02523803524672985","60","60","60","0.012200767174363136","0.012200767174363136","0.012200767174363136","60","60","60","0.03024739772081375","0.03024739772081375","0.03024739772081375","60","60","60","0.020587215200066566","0.020587215200066566","0.020587215200066566"
"6200","61","61","61","0.0033286402467638254","0.0033286402467638254","0.0033286402467638254","61","61","61","0.02511192113161087","0.02511192113161087","0.02511192113161087","61","61","61","0.019960986450314522","0.019960986450314522","0.019960986450314522","61","61","61","0.007840357720851898","0.007840357720851898","0.007840357720851898"
"6300","62","62","62","0.009654064662754536","0.009654064662754536","0.009654064662754536","62","62","62","0.01030497346073389","0.01030497346073389","0.01030497346073389","62","62","62","-0.01132392231374979","-0.01132392231374979","-0.01132392231374979","62","62","62","0.011325019411742687","0.011325019411742687","0.011325019411742687"
"6400","63","63","63","-0.004335392732173204","-0.004335392732173204","-0.004335392732173204","63","63","63","0.015340528450906277","0.015340528450906277","0.015340528450906277","63","63","63","-0.0028240573592483997","-0.0028240573592483997","-0.0028240573592483997","63","63","63","0.00947120413184166","0.00947120413184166","0.00947120413184166"
"6500","64","64","64","0.028171345591545105","0.028171345591545105","0.028171345591545105","64","64","64","0.026690222322940826","0.026690222322940826","0.026690222322940826","64","64","64","0.0024657093454152346","0.0024657093454152346","0.0024657093454152346","64","64","64","0.003511605318635702","0.003511605318635702","0.003511605318635702"
"6600","65","65","65","0.0059775481931865215","0.0059775481931865215","0.0059775481931865215","65","65","65","0.010031260550022125","0.010031260550022125","0.010031260550022125","65","65","65","0.012993534095585346","0.012993534095585346","0.012993534095585346","65","65","65","-0.0008953172364272177","-0.0008953172364272177","-0.0008953172364272177"
"6700","66","66","66","0.02137531340122223","0.02137531340122223","0.02137531340122223","66","66","66","0.012467342428863049","0.012467342428863049","0.012467342428863049","66","66","66","0.008216026239097118","0.008216026239097118","0.008216026239097118","66","66","66","0.022870231419801712","0.022870231419801712","0.022870231419801712"
"6800","67","67","67","0.025891218334436417","0.025891218334436417","0.025891218334436417","67","67","67","0.027521587908267975","0.027521587908267975","0.027521587908267975","67","67","67","0.011839554645121098","0.011839554645121098","0.011839554645121098","67","67","67","0.014761430211365223","0.014761430211365223","0.014761430211365223"
"6900","68","68","68","0.02582261711359024","0.02582261711359024","0.02582261711359024","68","68","68","0.004550708457827568","0.004550708457827568","0.004550708457827568","68","68","68","0.02551606483757496","0.02551606483757496","0.02551606483757496","68","68","68","0.012158317491412163","0.012158317491412163","0.012158317491412163"
"7000","69","69","69","0.015638133510947227","0.015638133510947227","0.015638133510947227","69","69","69","0.014568904414772987","0.014568904414772987","0.014568904414772987","69","69","69","0.00958491675555706","0.00958491675555706","0.00958491675555706","69","69","69","0.018396183848381042","0.018396183848381042","0.018396183848381042"
"7100","70","70","70","-0.012091773562133312","-0.012091773562133312","-0.012091773562133312","70","70","70","0.01258457638323307","0.01258457638323307","0.01258457638323307","70","70","70","0.016082003712654114","0.016082003712654114","0.016082003712654114","70","70","70","0.004264099523425102","0.004264099523425102","0.004264099523425102"
"7200","71","71","71","0.0012956165010109544","0.0012956165010109544","0.0012956165010109544","71","71","71","-0.0054053086787462234","-0.0054053086787462234","-0.0054053086787462234","71","71","71","0.02783203311264515","0.02783203311264515","0.02783203311264515","71","71","71","0.015389294363558292","0.015389294363558292","0.015389294363558292"
"7300","72","72","72","0.01134937722235918","0.01134937722235918","0.01134937722235918","72","72","72","0.03381248190999031","0.03381248190999031","0.03381248190999031","72","72","72","0.01612352952361107","0.01612352952361107","0.01612352952361107","72","72","72","0.02259884774684906","0.02259884774684906","0.02259884774684906"
"7400","73","73","73","0.005084495060145855","0.005084495060145855","0.005084495060145855","73","73","73","0.017887456342577934","0.017887456342577934","0.017887456342577934","73","73","73","-0.005512581672519445","-0.005512581672519445","-0.005512581672519445","73","73","73","-0.0004725272301584482","-0.0004725272301584482","-0.0004725272301584482"
"7500","74","74","74","0.015485049225389957","0.015485049225389957","0.015485049225389957","74","74","74","0.0101407365873456","0.0101407365873456","0.0101407365873456","74","74","74","0.025655487552285194","0.025655487552285194","0.025655487552285194","74","74","74","0.03730972111225128","0.03730972111225128","0.03730972111225128"
"7600","75","75","75","0.01956922560930252","0.01956922560930252","0.01956922560930252","75","75","75","0.005618667230010033","0.005618667230010033","0.005618667230010033","75","75","75","0.011825883761048317","0.011825883761048317","0.011825883761048317","75","75","75","0.006056774873286486","0.006056774873286486","0.006056774873286486"
"7700","76","76","76","0.024790354073047638","0.024790354073047638","0.024790354073047638","76","76","76","0.008845260366797447","0.008845260366797447","0.008845260366797447","76","76","76","0.012877607718110085","0.012877607718110085","0.012877607718110085","76","76","76","0.025920802727341652","0.025920802727341652","0.025920802727341652"
"7800","77","77","77","0.003844446735456586","0.003844446735456586","0.003844446735456586","77","77","77","0.0214831680059433","0.0214831680059433","0.0214831680059433","77","77","77","0.00846867822110653","0.00846867822110653","0.00846867822110653","77","77","77","0.020621249452233315","0.020621249452233315","0.020621249452233315"
"7900","78","78","78","0.01283342856913805","0.01283342856913805","0.01283342856913805","78","78","78","0.009648652747273445","0.009648652747273445","0.009648652747273445","78","78","78","-0.0004846618976444006","-0.0004846618976444006","-0.0004846618976444006","78","78","78","0.03103313408792019","0.03103313408792019","0.03103313408792019"
"8000","79","79","79","0.01833961345255375","0.01833961345255375","0.01833961345255375","79","79","79","0.01423829235136509","0.01423829235136509","0.01423829235136509","79","79","79","0.015192964114248753","0.015192964114248753","0.015192964114248753","79","79","79","0.0023878710344433784","0.0023878710344433784","0.0023878710344433784"
"8100","80","80","80","0.024627216160297394","0.024627216160297394","0.024627216160297394","80","80","80","0.006406358443200588","0.006406358443200588","0.006406358443200588","80","80","80","0.020650086924433708","0.020650086924433708","0.020650086924433708","80","80","80","0.020190877839922905","0.020190877839922905","0.020190877839922905"
"8200","81","81","81","0.024527451023459435","0.024527451023459435","0.024527451023459435","81","81","81","0.02143418975174427","0.02143418975174427","0.02143418975174427","81","81","81","-0.0068771205842494965","-0.0068771205842494965","-0.0068771205842494965","81","81","81","0.009687763638794422","0.009687763638794422","0.009687763638794422"
"8300","82","82","82","0.018748316913843155","0.018748316913843155","0.018748316913843155","82","82","82","0.017315221950411797","0.017315221950411797","0.017315221950411797","82","82","82","0.02536322921514511","0.02536322921514511","0.02536322921514511","82","82","82","0.018935929983854294","0.018935929983854294","0.018935929983854294"
"8400","83","83","83","0.011825080029666424","0.011825080029666424","0.011825080029666424","83","83","83","0.008131293579936028","0.008131293579936028","0.008131293579936028","83","83","83","0.009418206289410591","0.009418206289410591","0.009418206289410591","83","83","83","0.009657745249569416","0.009657745249569416","0.009657745249569416"
"8500","84","84","84","0.01152463536709547","0.01152463536709547","0.01152463536709547","84","84","84","0.011593276634812355","0.011593276634812355","0.011593276634812355","84","84","84","-0.005292746238410473","-0.005292746238410473","-0.005292746238410473","84","84","84","0.006624968256801367","0.006624968256801367","0.006624968256801367"
"8600","85","85","85","0.026041695848107338","0.026041695848107338","0.026041695848107338","85","85","85","0.016301576048135757","0.016301576048135757","0.016301576048135757","85","85","85","0.005248612724244595","0.005248612724244595","0.005248612724244595","85","85","85","0.021884070709347725","0.021884070709347725","0.021884070709347725"
"8700","86","86","86","0.006480545271188021","0.006480545271188021","0.006480545271188021","86","86","86","0.005638092756271362","0.005638092756271362","0.005638092756271362","86","86","86","0.01842528022825718","0.01842528022825718","0.01842528022825718","86","86","86","0.024821802973747253","0.024821802973747253","0.024821802973747253"
"8800","87","87","87","0.011324701830744743","0.011324701830744743","0.011324701830744743","87","87","87","0.014745947904884815","0.014745947904884815","0.014745947904884815","87","87","87","0.011861434206366539","0.011861434206366539","0.011861434206366539","87","87","87","0.0051572369411587715","0.0051572369411587715","0.0051572369411587715"
"8900","88","88","88","0.0074030738323926926","0.0074030738323926926","0.0074030738323926926","88","88","88","0.004437236115336418","0.004437236115336418","0.004437236115336418","88","88","88","0.008489123545587063","0.008489123545587063","0.008489123545587063","88","88","88","0.030008016154170036","0.030008016154170036","0.030008016154170036"
"9000","89","89","89","0.022871224209666252","0.022871224209666252","0.022871224209666252","89","89","89","-0.000011463468581496272","-0.000011463468581496272","-0.000011463468581496272","89","89","89","0.01711946912109852","0.01711946912109852","0.01711946912109852","89","89","89","0.030072178691625595","0.030072178691625595","0.030072178691625595"
"9100","90","90","90","0.02584187127649784","0.02584187127649784","0.02584187127649784","90","90","90","0.018276449292898178","0.018276449292898178","0.018276449292898178","90","90","90","0.009800098836421967","0.009800098836421967","0.009800098836421967","90","90","90","0.007903325371444225","0.007903325371444225","0.007903325371444225"
