"ray/tune/info/num_steps_sampled","oracle_noise: 160 - _step","oracle_noise: 160 - _step__MIN","oracle_noise: 160 - _step__MAX","oracle_noise: 160 - ray/tune/custom_metrics/is_step_in_real_mean","oracle_noise: 160 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","oracle_noise: 160 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","oracle_noise: 140 - _step","oracle_noise: 140 - _step__MIN","oracle_noise: 140 - _step__MAX","oracle_noise: 140 - ray/tune/custom_metrics/is_step_in_real_mean","oracle_noise: 140 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","oracle_noise: 140 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","oracle_noise: 120 - _step","oracle_noise: 120 - _step__MIN","oracle_noise: 120 - _step__MAX","oracle_noise: 120 - ray/tune/custom_metrics/is_step_in_real_mean","oracle_noise: 120 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","oracle_noise: 120 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","oracle_noise: 90 - _step","oracle_noise: 90 - _step__MIN","oracle_noise: 90 - _step__MAX","oracle_noise: 90 - ray/tune/custom_metrics/is_step_in_real_mean","oracle_noise: 90 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","oracle_noise: 90 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","oracle_noise: 60 - _step","oracle_noise: 60 - _step__MIN","oracle_noise: 60 - _step__MAX","oracle_noise: 60 - ray/tune/custom_metrics/is_step_in_real_mean","oracle_noise: 60 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","oracle_noise: 60 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","oracle_noise: 20 - _step","oracle_noise: 20 - _step__MIN","oracle_noise: 20 - _step__MAX","oracle_noise: 20 - ray/tune/custom_metrics/is_step_in_real_mean","oracle_noise: 20 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","oracle_noise: 20 - ray/tune/custom_metrics/is_step_in_real_mean__MAX"
"1100","10","10","10","0.07999999821186066","0.07999999821186066","0.07999999821186066","10","10","10","0.054999999701976776","0.05000000074505806","0.05999999865889549","10","10","10","0.11999999731779099","0.11999999731779099","0.11999999731779099","10","10","10","0.12999999523162842","0.12999999523162842","0.12999999523162842","10","10","10","0.09000000357627869","0.09000000357627869","0.09000000357627869","10","10","10","0.2800000011920929","0.2800000011920929","0.2800000011920929"
"1200","11","11","11","0.10000000149011612","0.10000000149011612","0.10000000149011612","11","11","11","0.1099999975413084","0.05999999865889549","0.1599999964237213","11","11","11","0.14000000059604645","0.14000000059604645","0.14000000059604645","11","11","11","0.15000000596046448","0.15000000596046448","0.15000000596046448","11","11","11","0.20999999344348907","0.20999999344348907","0.20999999344348907","11","11","11","0.20999999344348907","0.20999999344348907","0.20999999344348907"
"1300","12","12","12","0.07999999821186066","0.07999999821186066","0.07999999821186066","12","12","12","0.07500000111758709","0.05000000074505806","0.10000000149011612","12","12","12","0.14000000059604645","0.14000000059604645","0.14000000059604645","12","12","12","0.10999999940395355","0.10999999940395355","0.10999999940395355","12","12","12","0.12999999523162842","0.12999999523162842","0.12999999523162842","12","12","12","0.2800000011920929","0.2800000011920929","0.2800000011920929"
"1400","13","13","13","0.10999999940395355","0.10999999940395355","0.10999999940395355","13","13","13","0.12000000104308128","0.10000000149011612","0.14000000059604645","13","13","13","0.15000000596046448","0.15000000596046448","0.15000000596046448","13","13","13","0.1599999964237213","0.1599999964237213","0.1599999964237213","13","13","13","0.14000000059604645","0.14000000059604645","0.14000000059604645","13","13","13","0.2199999988079071","0.2199999988079071","0.2199999988079071"
"1500","14","14","14","0.05000000074505806","0.05000000074505806","0.05000000074505806","14","14","14","0.09999999962747097","0.05999999865889549","0.14000000059604645","14","14","14","0.07000000029802322","0.07000000029802322","0.07000000029802322","14","14","14","0.12999999523162842","0.12999999523162842","0.12999999523162842","14","14","14","0.1899999976158142","0.1899999976158142","0.1899999976158142","14","14","14","0.28999999165534973","0.28999999165534973","0.28999999165534973"
"1600","15","15","15","0.10999999940395355","0.10999999940395355","0.10999999940395355","15","15","15","0.11000000312924385","0.07000000029802322","0.15000000596046448","15","15","15","0.11999999731779099","0.11999999731779099","0.11999999731779099","15","15","15","0.14000000059604645","0.14000000059604645","0.14000000059604645","15","15","15","0.15000000596046448","0.15000000596046448","0.15000000596046448","15","15","15","0.28999999165534973","0.28999999165534973","0.28999999165534973"
"1700","16","16","16","0.10000000149011612","0.10000000149011612","0.10000000149011612","16","16","16","0.13499999791383743","0.10999999940395355","0.1599999964237213","16","16","16","0.15000000596046448","0.15000000596046448","0.15000000596046448","16","16","16","0.20000000298023224","0.20000000298023224","0.20000000298023224","16","16","16","0.20999999344348907","0.20999999344348907","0.20999999344348907","16","16","16","0.27000001072883606","0.27000001072883606","0.27000001072883606"
"1800","17","17","17","0.07000000029802322","0.07000000029802322","0.07000000029802322","17","17","17","0.11999999731779099","0.10999999940395355","0.12999999523162842","17","17","17","0.11999999731779099","0.11999999731779099","0.11999999731779099","17","17","17","0.14000000059604645","0.14000000059604645","0.14000000059604645","17","17","17","0.2199999988079071","0.2199999988079071","0.2199999988079071","17","17","17","0.30000001192092896","0.30000001192092896","0.30000001192092896"
"1900","18","18","18","0.10999999940395355","0.10999999940395355","0.10999999940395355","18","18","18","0.10500000044703484","0.10000000149011612","0.10999999940395355","18","18","18","0.12999999523162842","0.12999999523162842","0.12999999523162842","18","18","18","0.11999999731779099","0.11999999731779099","0.11999999731779099","18","18","18","0.20999999344348907","0.20999999344348907","0.20999999344348907","18","18","18","0.23999999463558197","0.23999999463558197","0.23999999463558197"
"2000","19","19","19","0.09000000357627869","0.09000000357627869","0.09000000357627869","19","19","19","0.08000000193715096","0.07000000029802322","0.09000000357627869","19","19","19","0.07999999821186066","0.07999999821186066","0.07999999821186066","19","19","19","0.10000000149011612","0.10000000149011612","0.10000000149011612","19","19","19","0.10999999940395355","0.10999999940395355","0.10999999940395355","19","19","19","0.2800000011920929","0.2800000011920929","0.2800000011920929"
"2100","20","20","20","0.07000000029802322","0.07000000029802322","0.07000000029802322","20","20","20","0.0949999988079071","0.07999999821186066","0.10999999940395355","20","20","20","0.14000000059604645","0.14000000059604645","0.14000000059604645","20","20","20","0.10999999940395355","0.10999999940395355","0.10999999940395355","20","20","20","0.1899999976158142","0.1899999976158142","0.1899999976158142","20","20","20","0.23000000417232513","0.23000000417232513","0.23000000417232513"
"2200","21","21","21","0.07000000029802322","0.07000000029802322","0.07000000029802322","21","21","21","0.125","0.10999999940395355","0.14000000059604645","21","21","21","0.12999999523162842","0.12999999523162842","0.12999999523162842","21","21","21","0.10000000149011612","0.10000000149011612","0.10000000149011612","21","21","21","0.25999999046325684","0.25999999046325684","0.25999999046325684","21","21","21","0.25999999046325684","0.25999999046325684","0.25999999046325684"
"2300","22","22","22","0.029999999329447746","0.029999999329447746","0.029999999329447746","22","22","22","0.10500000044703484","0.10000000149011612","0.10999999940395355","22","22","22","0.10999999940395355","0.10999999940395355","0.10999999940395355","22","22","22","0.20000000298023224","0.20000000298023224","0.20000000298023224","22","22","22","0.18000000715255737","0.18000000715255737","0.18000000715255737","22","22","22","0.3199999928474426","0.3199999928474426","0.3199999928474426"
"2400","23","23","23","0.09000000357627869","0.09000000357627869","0.09000000357627869","23","23","23","0.06999999843537807","0.05999999865889549","0.07999999821186066","23","23","23","0.14000000059604645","0.14000000059604645","0.14000000059604645","23","23","23","0.11999999731779099","0.11999999731779099","0.11999999731779099","23","23","23","0.1599999964237213","0.1599999964237213","0.1599999964237213","23","23","23","0.2800000011920929","0.2800000011920929","0.2800000011920929"
"2500","24","24","24","0.09000000357627869","0.09000000357627869","0.09000000357627869","24","24","24","0.12000000104308128","0.10000000149011612","0.14000000059604645","24","24","24","0.11999999731779099","0.11999999731779099","0.11999999731779099","24","24","24","0.05999999865889549","0.05999999865889549","0.05999999865889549","24","24","24","0.1899999976158142","0.1899999976158142","0.1899999976158142","24","24","24","0.25999999046325684","0.25999999046325684","0.25999999046325684"
"2600","25","25","25","0.10999999940395355","0.10999999940395355","0.10999999940395355","25","25","25","0.11999999731779099","0.10999999940395355","0.12999999523162842","25","25","25","0.15000000596046448","0.15000000596046448","0.15000000596046448","25","25","25","0.20999999344348907","0.20999999344348907","0.20999999344348907","25","25","25","0.18000000715255737","0.18000000715255737","0.18000000715255737","25","25","25","0.1599999964237213","0.1599999964237213","0.1599999964237213"
"2700","26","26","26","0.15000000596046448","0.15000000596046448","0.15000000596046448","26","26","26","0.0949999988079071","0.07999999821186066","0.10999999940395355","26","26","26","0.15000000596046448","0.15000000596046448","0.15000000596046448","26","26","26","0.18000000715255737","0.18000000715255737","0.18000000715255737","26","26","26","0.23999999463558197","0.23999999463558197","0.23999999463558197","26","26","26","0.23999999463558197","0.23999999463558197","0.23999999463558197"
"2800","27","27","27","0.11999999731779099","0.11999999731779099","0.11999999731779099","27","27","27","0.09999999776482582","0.07999999821186066","0.11999999731779099","27","27","27","0.14000000059604645","0.14000000059604645","0.14000000059604645","27","27","27","0.12999999523162842","0.12999999523162842","0.12999999523162842","27","27","27","0.20000000298023224","0.20000000298023224","0.20000000298023224","27","27","27","0.23000000417232513","0.23000000417232513","0.23000000417232513"
"2900","28","28","28","0.09000000357627869","0.09000000357627869","0.09000000357627869","28","28","28","0.10000000149011612","0.09000000357627869","0.10999999940395355","28","28","28","0.17000000178813934","0.17000000178813934","0.17000000178813934","28","28","28","0.11999999731779099","0.11999999731779099","0.11999999731779099","28","28","28","0.20000000298023224","0.20000000298023224","0.20000000298023224","28","28","28","0.25999999046325684","0.25999999046325684","0.25999999046325684"
"3000","29","29","29","0.15000000596046448","0.15000000596046448","0.15000000596046448","29","29","29","0.125","0.10999999940395355","0.14000000059604645","29","29","29","0.12999999523162842","0.12999999523162842","0.12999999523162842","29","29","29","0.17000000178813934","0.17000000178813934","0.17000000178813934","29","29","29","0.20000000298023224","0.20000000298023224","0.20000000298023224","29","29","29","0.3100000023841858","0.3100000023841858","0.3100000023841858"
"3100","30","30","30","0.12999999523162842","0.12999999523162842","0.12999999523162842","30","30","30","0.13499999791383743","0.12999999523162842","0.14000000059604645","30","30","30","0.15000000596046448","0.15000000596046448","0.15000000596046448","30","30","30","0.15000000596046448","0.15000000596046448","0.15000000596046448","30","30","30","0.14000000059604645","0.14000000059604645","0.14000000059604645","30","30","30","0.28999999165534973","0.28999999165534973","0.28999999165534973"
"3200","31","31","31","0.05999999865889549","0.05999999865889549","0.05999999865889549","31","31","31","0.14000000059604645","0.14000000059604645","0.14000000059604645","31","31","31","0.14000000059604645","0.14000000059604645","0.14000000059604645","31","31","31","0.1599999964237213","0.1599999964237213","0.1599999964237213","31","31","31","0.17000000178813934","0.17000000178813934","0.17000000178813934","31","31","31","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"3300","32","32","32","0.07000000029802322","0.07000000029802322","0.07000000029802322","32","32","32","0.10999999940395355","0.10999999940395355","0.10999999940395355","32","32","32","0.14000000059604645","0.14000000059604645","0.14000000059604645","32","32","32","0.12999999523162842","0.12999999523162842","0.12999999523162842","32","32","32","0.25999999046325684","0.25999999046325684","0.25999999046325684","32","32","32","0.3199999928474426","0.3199999928474426","0.3199999928474426"
"3400","33","33","33","0.11999999731779099","0.11999999731779099","0.11999999731779099","33","33","33","0.10500000044703484","0.10000000149011612","0.10999999940395355","33","33","33","0.15000000596046448","0.15000000596046448","0.15000000596046448","33","33","33","0.14000000059604645","0.14000000059604645","0.14000000059604645","33","33","33","0.17000000178813934","0.17000000178813934","0.17000000178813934","33","33","33","0.3400000035762787","0.3400000035762787","0.3400000035762787"
"3500","34","34","34","0.11999999731779099","0.11999999731779099","0.11999999731779099","34","34","34","0.125","0.10999999940395355","0.14000000059604645","34","34","34","0.1899999976158142","0.1899999976158142","0.1899999976158142","34","34","34","0.11999999731779099","0.11999999731779099","0.11999999731779099","34","34","34","0.18000000715255737","0.18000000715255737","0.18000000715255737","34","34","34","0.30000001192092896","0.30000001192092896","0.30000001192092896"
"3600","35","35","35","0.07999999821186066","0.07999999821186066","0.07999999821186066","35","35","35","0.10999999940395355","0.09000000357627869","0.12999999523162842","35","35","35","0.10999999940395355","0.10999999940395355","0.10999999940395355","35","35","35","0.18000000715255737","0.18000000715255737","0.18000000715255737","35","35","35","0.18000000715255737","0.18000000715255737","0.18000000715255737","35","35","35","0.38999998569488525","0.38999998569488525","0.38999998569488525"
"3700","36","36","36","0.07000000029802322","0.07000000029802322","0.07000000029802322","36","36","36","0.11499999836087227","0.10000000149011612","0.12999999523162842","36","36","36","0.14000000059604645","0.14000000059604645","0.14000000059604645","36","36","36","0.25","0.25","0.25","36","36","36","0.1899999976158142","0.1899999976158142","0.1899999976158142","36","36","36","0.18000000715255737","0.18000000715255737","0.18000000715255737"
"3800","37","37","37","0.14000000059604645","0.14000000059604645","0.14000000059604645","37","37","37","0.1600000038743019","0.15000000596046448","0.17000000178813934","37","37","37","0.1599999964237213","0.1599999964237213","0.1599999964237213","37","37","37","0.2199999988079071","0.2199999988079071","0.2199999988079071","37","37","37","0.23999999463558197","0.23999999463558197","0.23999999463558197","37","37","37","0.3499999940395355","0.3499999940395355","0.3499999940395355"
"3900","38","38","38","0.12999999523162842","0.12999999523162842","0.12999999523162842","38","38","38","0.15000000223517418","0.11999999731779099","0.18000000715255737","38","38","38","0.14000000059604645","0.14000000059604645","0.14000000059604645","38","38","38","0.18000000715255737","0.18000000715255737","0.18000000715255737","38","38","38","0.23000000417232513","0.23000000417232513","0.23000000417232513","38","38","38","0.30000001192092896","0.30000001192092896","0.30000001192092896"
"4000","39","39","39","0.10999999940395355","0.10999999940395355","0.10999999940395355","39","39","39","0.11499999836087227","0.07000000029802322","0.1599999964237213","39","39","39","0.15000000596046448","0.15000000596046448","0.15000000596046448","39","39","39","0.15000000596046448","0.15000000596046448","0.15000000596046448","39","39","39","0.27000001072883606","0.27000001072883606","0.27000001072883606","39","39","39","0.33000001311302185","0.33000001311302185","0.33000001311302185"
"4100","40","40","40","0.05999999865889549","0.05999999865889549","0.05999999865889549","40","40","40","0.1599999964237213","0.12999999523162842","0.1899999976158142","40","40","40","0.1599999964237213","0.1599999964237213","0.1599999964237213","40","40","40","0.11999999731779099","0.11999999731779099","0.11999999731779099","40","40","40","0.20999999344348907","0.20999999344348907","0.20999999344348907","40","40","40","0.3400000035762787","0.3400000035762787","0.3400000035762787"
"4200","41","41","41","0.15000000596046448","0.15000000596046448","0.15000000596046448","41","41","41","0.17999999970197678","0.17000000178813934","0.1899999976158142","41","41","41","0.10999999940395355","0.10999999940395355","0.10999999940395355","41","41","41","0.18000000715255737","0.18000000715255737","0.18000000715255737","41","41","41","0.20999999344348907","0.20999999344348907","0.20999999344348907","41","41","41","0.36000001430511475","0.36000001430511475","0.36000001430511475"
"4300","42","42","42","0.09000000357627869","0.09000000357627869","0.09000000357627869","42","42","42","0.1250000037252903","0.10000000149011612","0.15000000596046448","42","42","42","0.11999999731779099","0.11999999731779099","0.11999999731779099","42","42","42","0.18000000715255737","0.18000000715255737","0.18000000715255737","42","42","42","0.20999999344348907","0.20999999344348907","0.20999999344348907","42","42","42","0.3799999952316284","0.3799999952316284","0.3799999952316284"
"4400","43","43","43","0.17000000178813934","0.17000000178813934","0.17000000178813934","43","43","43","0.14500000327825546","0.10999999940395355","0.18000000715255737","43","43","43","0.11999999731779099","0.11999999731779099","0.11999999731779099","43","43","43","0.17000000178813934","0.17000000178813934","0.17000000178813934","43","43","43","0.17000000178813934","0.17000000178813934","0.17000000178813934","43","43","43","0.3100000023841858","0.3100000023841858","0.3100000023841858"
"4500","44","44","44","0.11999999731779099","0.11999999731779099","0.11999999731779099","44","44","44","0.11999999731779099","0.11999999731779099","0.11999999731779099","44","44","44","0.1899999976158142","0.1899999976158142","0.1899999976158142","44","44","44","0.23000000417232513","0.23000000417232513","0.23000000417232513","44","44","44","0.2199999988079071","0.2199999988079071","0.2199999988079071","44","44","44","0.3700000047683716","0.3700000047683716","0.3700000047683716"
"4600","45","45","45","0.10000000149011612","0.10000000149011612","0.10000000149011612","45","45","45","0.0950000025331974","0.09000000357627869","0.10000000149011612","45","45","45","0.1599999964237213","0.1599999964237213","0.1599999964237213","45","45","45","0.25","0.25","0.25","45","45","45","0.27000001072883606","0.27000001072883606","0.27000001072883606","45","45","45","0.3199999928474426","0.3199999928474426","0.3199999928474426"
"4700","46","46","46","0.05999999865889549","0.05999999865889549","0.05999999865889549","46","46","46","0.1550000011920929","0.15000000596046448","0.1599999964237213","46","46","46","0.1899999976158142","0.1899999976158142","0.1899999976158142","46","46","46","0.25","0.25","0.25","46","46","46","0.1599999964237213","0.1599999964237213","0.1599999964237213","46","46","46","0.27000001072883606","0.27000001072883606","0.27000001072883606"
"4800","47","47","47","0.07999999821186066","0.07999999821186066","0.07999999821186066","47","47","47","0.1549999974668026","0.11999999731779099","0.1899999976158142","47","47","47","0.10999999940395355","0.10999999940395355","0.10999999940395355","47","47","47","0.17000000178813934","0.17000000178813934","0.17000000178813934","47","47","47","0.3400000035762787","0.3400000035762787","0.3400000035762787","47","47","47","0.33000001311302185","0.33000001311302185","0.33000001311302185"
"4900","48","48","48","0.14000000059604645","0.14000000059604645","0.14000000059604645","48","48","48","0.125","0.10999999940395355","0.14000000059604645","48","48","48","0.12999999523162842","0.12999999523162842","0.12999999523162842","48","48","48","0.20999999344348907","0.20999999344348907","0.20999999344348907","48","48","48","0.3199999928474426","0.3199999928474426","0.3199999928474426","48","48","48","0.3199999928474426","0.3199999928474426","0.3199999928474426"
"5000","49","49","49","0.029999999329447746","0.029999999329447746","0.029999999329447746","49","49","49","0.11500000208616257","0.09000000357627869","0.14000000059604645","49","49","49","0.14000000059604645","0.14000000059604645","0.14000000059604645","49","49","49","0.17000000178813934","0.17000000178813934","0.17000000178813934","49","49","49","0.15000000596046448","0.15000000596046448","0.15000000596046448","49","49","49","0.3700000047683716","0.3700000047683716","0.3700000047683716"
"5100","50","50","50","0.14000000059604645","0.14000000059604645","0.14000000059604645","50","50","50","0.1850000023841858","0.14000000059604645","0.23000000417232513","50","50","50","0.1599999964237213","0.1599999964237213","0.1599999964237213","50","50","50","0.10999999940395355","0.10999999940395355","0.10999999940395355","50","50","50","0.23999999463558197","0.23999999463558197","0.23999999463558197","50","50","50","0.3499999940395355","0.3499999940395355","0.3499999940395355"
"5200","51","51","51","0.12999999523162842","0.12999999523162842","0.12999999523162842","51","51","51","0.10999999940395355","0.10000000149011612","0.11999999731779099","51","51","51","0.18000000715255737","0.18000000715255737","0.18000000715255737","51","51","51","0.12999999523162842","0.12999999523162842","0.12999999523162842","51","51","51","0.23000000417232513","0.23000000417232513","0.23000000417232513","51","51","51","0.38999998569488525","0.38999998569488525","0.38999998569488525"
"5300","52","52","52","0.10999999940395355","0.10999999940395355","0.10999999940395355","52","52","52","0.12999999895691872","0.10000000149011612","0.1599999964237213","52","52","52","0.14000000059604645","0.14000000059604645","0.14000000059604645","52","52","52","0.17000000178813934","0.17000000178813934","0.17000000178813934","52","52","52","0.23999999463558197","0.23999999463558197","0.23999999463558197","52","52","52","0.3400000035762787","0.3400000035762787","0.3400000035762787"
"5400","53","53","53","0.05999999865889549","0.05999999865889549","0.05999999865889549","53","53","53","0.13500000163912773","0.11999999731779099","0.15000000596046448","53","53","53","0.11999999731779099","0.11999999731779099","0.11999999731779099","53","53","53","0.1899999976158142","0.1899999976158142","0.1899999976158142","53","53","53","0.25","0.25","0.25","53","53","53","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"5500","54","54","54","0.14000000059604645","0.14000000059604645","0.14000000059604645","54","54","54","0.09500000067055225","0.019999999552965164","0.17000000178813934","54","54","54","0.14000000059604645","0.14000000059604645","0.14000000059604645","54","54","54","0.15000000596046448","0.15000000596046448","0.15000000596046448","54","54","54","0.25","0.25","0.25","54","54","54","0.36000001430511475","0.36000001430511475","0.36000001430511475"
"5600","55","55","55","0.12999999523162842","0.12999999523162842","0.12999999523162842","55","55","55","0.16499999910593033","0.14000000059604645","0.1899999976158142","55","55","55","0.14000000059604645","0.14000000059604645","0.14000000059604645","55","55","55","0.20999999344348907","0.20999999344348907","0.20999999344348907","55","55","55","0.28999999165534973","0.28999999165534973","0.28999999165534973","55","55","55","0.3199999928474426","0.3199999928474426","0.3199999928474426"
"5700","56","56","56","0.15000000596046448","0.15000000596046448","0.15000000596046448","56","56","56","0.13499999791383743","0.12999999523162842","0.14000000059604645","56","56","56","0.07999999821186066","0.07999999821186066","0.07999999821186066","56","56","56","0.1899999976158142","0.1899999976158142","0.1899999976158142","56","56","56","0.27000001072883606","0.27000001072883606","0.27000001072883606","56","56","56","0.36000001430511475","0.36000001430511475","0.36000001430511475"
"5800","57","57","57","0.10999999940395355","0.10999999940395355","0.10999999940395355","57","57","57","0.11500000208616257","0.07999999821186066","0.15000000596046448","57","57","57","0.23000000417232513","0.23000000417232513","0.23000000417232513","57","57","57","0.20999999344348907","0.20999999344348907","0.20999999344348907","57","57","57","0.2800000011920929","0.2800000011920929","0.2800000011920929","57","57","57","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"5900","58","58","58","0.12999999523162842","0.12999999523162842","0.12999999523162842","58","58","58","0.13000000268220901","0.09000000357627869","0.17000000178813934","58","58","58","0.20000000298023224","0.20000000298023224","0.20000000298023224","58","58","58","0.20000000298023224","0.20000000298023224","0.20000000298023224","58","58","58","0.27000001072883606","0.27000001072883606","0.27000001072883606","58","58","58","0.41999998688697815","0.41999998688697815","0.41999998688697815"
