"ray/tune/info/num_steps_sampled","threshold_type: 1 - _step","threshold_type: 1 - _step__MIN","threshold_type: 1 - _step__MAX","threshold_type: 1 - ray/tune/custom_metrics/prediction_error_mean","threshold_type: 1 - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: 1 - ray/tune/custom_metrics/prediction_error_mean__MAX","threshold_type: s - _step","threshold_type: s - _step__MIN","threshold_type: s - _step__MAX","threshold_type: s - ray/tune/custom_metrics/prediction_error_mean","threshold_type: s - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: s - ray/tune/custom_metrics/prediction_error_mean__MAX","threshold_type: hard - _step","threshold_type: hard - _step__MIN","threshold_type: hard - _step__MAX","threshold_type: hard - ray/tune/custom_metrics/prediction_error_mean","threshold_type: hard - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: hard - ray/tune/custom_metrics/prediction_error_mean__MAX","threshold_type: convex - _step","threshold_type: convex - _step__MIN","threshold_type: convex - _step__MAX","threshold_type: convex - ray/tune/custom_metrics/prediction_error_mean","threshold_type: convex - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: convex - ray/tune/custom_metrics/prediction_error_mean__MAX","threshold_type: concave - _step","threshold_type: concave - _step__MIN","threshold_type: concave - _step__MAX","threshold_type: concave - ray/tune/custom_metrics/prediction_error_mean","threshold_type: concave - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: concave - ray/tune/custom_metrics/prediction_error_mean__MAX"
"1100","10","10","10","0.048979151993989944","0.048979151993989944","0.048979151993989944","10","10","10","0.01051180250942707","0.01051180250942707","0.01051180250942707","10","10","10","0.04818793013691902","0.04818793013691902","0.04818793013691902","10","10","10","0.06002926453948021","0.06002926453948021","0.06002926453948021","10","10","10","0.10792266577482224","0.10792266577482224","0.10792266577482224"
"1200","11","11","11","0.08780324459075928","0.08780324459075928","0.08780324459075928","11","11","11","0.0940840020775795","0.0940840020775795","0.0940840020775795","11","11","11","0.06059648096561432","0.06059648096561432","0.06059648096561432","11","11","11","0.08471228927373886","0.08471228927373886","0.08471228927373886","11","11","11","0.06587390601634979","0.06587390601634979","0.06587390601634979"
"1300","12","12","12","0.10898040980100632","0.10898040980100632","0.10898040980100632","12","12","12","0.1068868488073349","0.1068868488073349","0.1068868488073349","12","12","12","0.06091742962598801","0.06091742962598801","0.06091742962598801","12","12","12","0.05640816688537598","0.05640816688537598","0.05640816688537598","12","12","12","0.05635511130094528","0.05635511130094528","0.05635511130094528"
"1400","13","13","13","0.050877369940280914","0.050877369940280914","0.050877369940280914","13","13","13","0.05422316491603851","0.05422316491603851","0.05422316491603851","13","13","13","0.06951472163200378","0.06951472163200378","0.06951472163200378","13","13","13","0.055411066859960556","0.055411066859960556","0.055411066859960556","13","13","13","0.057846758514642715","0.057846758514642715","0.057846758514642715"
"1500","14","14","14","0.101293183863163","0.101293183863163","0.101293183863163","14","14","14","0.09475941956043243","0.09475941956043243","0.09475941956043243","14","14","14","0.09261436015367508","0.09261436015367508","0.09261436015367508","14","14","14","0.029131481423974037","0.029131481423974037","0.029131481423974037","14","14","14","0.1051592156291008","0.1051592156291008","0.1051592156291008"
"1600","15","15","15","0.06795524805784225","0.06795524805784225","0.06795524805784225","15","15","15","0.0696668028831482","0.0696668028831482","0.0696668028831482","15","15","15","0.044818099588155746","0.044818099588155746","0.044818099588155746","15","15","15","0.08795008063316345","0.08795008063316345","0.08795008063316345","15","15","15","0.07665210962295532","0.07665210962295532","0.07665210962295532"
"1700","16","16","16","0.09883209317922592","0.09883209317922592","0.09883209317922592","16","16","16","0.04936393350362778","0.04936393350362778","0.04936393350362778","16","16","16","0.01791493594646454","0.01791493594646454","0.01791493594646454","16","16","16","0.0984763577580452","0.0984763577580452","0.0984763577580452","16","16","16","0.07731719315052032","0.07731719315052032","0.07731719315052032"
"1800","17","17","17","0.030351826921105385","0.030351826921105385","0.030351826921105385","17","17","17","0.057148199528455734","0.057148199528455734","0.057148199528455734","17","17","17","0.06014798581600189","0.06014798581600189","0.06014798581600189","17","17","17","0.07015156745910645","0.07015156745910645","0.07015156745910645","17","17","17","0.047725871205329895","0.047725871205329895","0.047725871205329895"
"1900","18","18","18","0.042707741260528564","0.042707741260528564","0.042707741260528564","18","18","18","0.027903059497475624","0.027903059497475624","0.027903059497475624","18","18","18","0.08470705896615982","0.08470705896615982","0.08470705896615982","18","18","18","0.04435906186699867","0.04435906186699867","0.04435906186699867","18","18","18","0.038516223430633545","0.038516223430633545","0.038516223430633545"
"2000","19","19","19","0.10847607254981995","0.10847607254981995","0.10847607254981995","19","19","19","0.054566822946071625","0.054566822946071625","0.054566822946071625","19","19","19","0.047542084008455276","0.047542084008455276","0.047542084008455276","19","19","19","0.09326674789190292","0.09326674789190292","0.09326674789190292","19","19","19","0.10554929077625275","0.10554929077625275","0.10554929077625275"
"2100","20","20","20","0.07586178183555603","0.07586178183555603","0.07586178183555603","20","20","20","0.04853186011314392","0.04853186011314392","0.04853186011314392","20","20","20","0.049647968262434006","0.049647968262434006","0.049647968262434006","20","20","20","0.10406181961297989","0.10406181961297989","0.10406181961297989","20","20","20","0.07345868647098541","0.07345868647098541","0.07345868647098541"
"2200","21","21","21","0.08218429982662201","0.08218429982662201","0.08218429982662201","21","21","21","0.07028006762266159","0.07028006762266159","0.07028006762266159","21","21","21","0.07473159581422806","0.07473159581422806","0.07473159581422806","21","21","21","0.056384045630693436","0.056384045630693436","0.056384045630693436","21","21","21","0.07992968708276749","0.07992968708276749","0.07992968708276749"
"2300","22","22","22","0.0381251685321331","0.0381251685321331","0.0381251685321331","22","22","22","0.06141883134841919","0.06141883134841919","0.06141883134841919","22","22","22","0.10270712524652481","0.10270712524652481","0.10270712524652481","22","22","22","0.13060879707336426","0.13060879707336426","0.13060879707336426","22","22","22","0.06026262789964676","0.06026262789964676","0.06026262789964676"
"2400","23","23","23","0.09555912017822266","0.09555912017822266","0.09555912017822266","23","23","23","0.004173526540398598","0.004173526540398598","0.004173526540398598","23","23","23","0.08530231565237045","0.08530231565237045","0.08530231565237045","23","23","23","0.07795722782611847","0.07795722782611847","0.07795722782611847","23","23","23","0.062356092035770416","0.062356092035770416","0.062356092035770416"
"2500","24","24","24","0.06424279510974884","0.06424279510974884","0.06424279510974884","24","24","24","0.03406122699379921","0.03406122699379921","0.03406122699379921","24","24","24","0.11283422261476517","0.11283422261476517","0.11283422261476517","24","24","24","0.05601832643151283","0.05601832643151283","0.05601832643151283","24","24","24","0.055986542254686356","0.055986542254686356","0.055986542254686356"
"2600","25","25","25","0.13680948317050934","0.13680948317050934","0.13680948317050934","25","25","25","0.060298532247543335","0.060298532247543335","0.060298532247543335","25","25","25","0.020427854731678963","0.020427854731678963","0.020427854731678963","25","25","25","0.06088639423251152","0.06088639423251152","0.06088639423251152","25","25","25","0.05290278419852257","0.05290278419852257","0.05290278419852257"
"2700","26","26","26","0.00474510807543993","0.00474510807543993","0.00474510807543993","26","26","26","0.07919955253601074","0.07919955253601074","0.07919955253601074","26","26","26","0.13714636862277985","0.13714636862277985","0.13714636862277985","26","26","26","0.07270649075508118","0.07270649075508118","0.07270649075508118","26","26","26","0.10541730374097824","0.10541730374097824","0.10541730374097824"
"2800","27","27","27","0.07649636268615723","0.07649636268615723","0.07649636268615723","27","27","27","0.057252004742622375","0.057252004742622375","0.057252004742622375","27","27","27","0.08217670023441315","0.08217670023441315","0.08217670023441315","27","27","27","0.06453195214271545","0.06453195214271545","0.06453195214271545","27","27","27","0.07783457636833191","0.07783457636833191","0.07783457636833191"
"2900","28","28","28","0.0733988955616951","0.0733988955616951","0.0733988955616951","28","28","28","0.062359340488910675","0.062359340488910675","0.062359340488910675","28","28","28","0.048981934785842896","0.048981934785842896","0.048981934785842896","28","28","28","0.07573942840099335","0.07573942840099335","0.07573942840099335","28","28","28","0.0312449112534523","0.0312449112534523","0.0312449112534523"
"3000","29","29","29","0.06334485858678818","0.06334485858678818","0.06334485858678818","29","29","29","0.08351092040538788","0.08351092040538788","0.08351092040538788","29","29","29","0.04725698381662369","0.04725698381662369","0.04725698381662369","29","29","29","0.05191497877240181","0.05191497877240181","0.05191497877240181","29","29","29","0.04545151814818382","0.04545151814818382","0.04545151814818382"
"3100","30","30","30","0.08007555454969406","0.08007555454969406","0.08007555454969406","30","30","30","0.040951259434223175","0.040951259434223175","0.040951259434223175","30","30","30","0.045239076018333435","0.045239076018333435","0.045239076018333435","30","30","30","0.05794245004653931","0.05794245004653931","0.05794245004653931","30","30","30","0.076237753033638","0.076237753033638","0.076237753033638"
"3200","31","31","31","0.04634365439414978","0.04634365439414978","0.04634365439414978","31","31","31","0.05131644755601883","0.05131644755601883","0.05131644755601883","31","31","31","0.052596040070056915","0.052596040070056915","0.052596040070056915","31","31","31","0.07595574855804443","0.07595574855804443","0.07595574855804443","31","31","31","0.06646114587783813","0.06646114587783813","0.06646114587783813"
"3300","32","32","32","0.04282895475625992","0.04282895475625992","0.04282895475625992","32","32","32","0.02430609054863453","0.02430609054863453","0.02430609054863453","32","32","32","0.02829653210937977","0.02829653210937977","0.02829653210937977","32","32","32","0.03408046439290047","0.03408046439290047","0.03408046439290047","32","32","32","0.1163591593503952","0.1163591593503952","0.1163591593503952"
"3400","33","33","33","0.05542390048503876","0.05542390048503876","0.05542390048503876","33","33","33","0.0226509440690279","0.0226509440690279","0.0226509440690279","33","33","33","0.06771848350763321","0.06771848350763321","0.06771848350763321","33","33","33","0.05486030876636505","0.05486030876636505","0.05486030876636505","33","33","33","0.09737521409988403","0.09737521409988403","0.09737521409988403"
"3500","34","34","34","0.06754054129123688","0.06754054129123688","0.06754054129123688","34","34","34","0.10518119484186172","0.10518119484186172","0.10518119484186172","34","34","34","0.05211057513952255","0.05211057513952255","0.05211057513952255","34","34","34","0.07796406745910645","0.07796406745910645","0.07796406745910645","34","34","34","0.054267484694719315","0.054267484694719315","0.054267484694719315"
"3600","35","35","35","0.0333978533744812","0.0333978533744812","0.0333978533744812","35","35","35","0.059108667075634","0.059108667075634","0.059108667075634","35","35","35","0.0486919991672039","0.0486919991672039","0.0486919991672039","35","35","35","0.09562350809574127","0.09562350809574127","0.09562350809574127","35","35","35","0.10660093277692795","0.10660093277692795","0.10660093277692795"
"3700","36","36","36","0.13476742804050446","0.13476742804050446","0.13476742804050446","36","36","36","0.04401126503944397","0.04401126503944397","0.04401126503944397","36","36","36","0.05642116814851761","0.05642116814851761","0.05642116814851761","36","36","36","0.12400165945291519","0.12400165945291519","0.12400165945291519","36","36","36","0.07512421905994415","0.07512421905994415","0.07512421905994415"
"3800","37","37","37","0.08446773141622543","0.08446773141622543","0.08446773141622543","37","37","37","0.08666130155324936","0.08666130155324936","0.08666130155324936","37","37","37","0.11209356784820557","0.11209356784820557","0.11209356784820557","37","37","37","0.0548449270427227","0.0548449270427227","0.0548449270427227","37","37","37","0.11854985356330872","0.11854985356330872","0.11854985356330872"
"3900","38","38","38","0.08463482558727264","0.08463482558727264","0.08463482558727264","38","38","38","0.05931200087070465","0.05931200087070465","0.05931200087070465","38","38","38","0.09733777493238449","0.09733777493238449","0.09733777493238449","38","38","38","0.05134853348135948","0.05134853348135948","0.05134853348135948","38","38","38","0.11230580508708954","0.11230580508708954","0.11230580508708954"
"4000","39","39","39","0.07262948900461197","0.07262948900461197","0.07262948900461197","39","39","39","0.0805293396115303","0.0805293396115303","0.0805293396115303","39","39","39","0.0868956446647644","0.0868956446647644","0.0868956446647644","39","39","39","0.07839842885732651","0.07839842885732651","0.07839842885732651","39","39","39","0.11583457887172699","0.11583457887172699","0.11583457887172699"
"4100","40","40","40","0.07807541638612747","0.07807541638612747","0.07807541638612747","40","40","40","0.08423249423503876","0.08423249423503876","0.08423249423503876","40","40","40","0.14489270746707916","0.14489270746707916","0.14489270746707916","40","40","40","0.03494269773364067","0.03494269773364067","0.03494269773364067","40","40","40","0.10474146157503128","0.10474146157503128","0.10474146157503128"
"4200","41","41","41","0.0638670027256012","0.0638670027256012","0.0638670027256012","41","41","41","0.04617885872721672","0.04617885872721672","0.04617885872721672","41","41","41","0.10453607887029648","0.10453607887029648","0.10453607887029648","41","41","41","0.0695371925830841","0.0695371925830841","0.0695371925830841","41","41","41","0.07076576352119446","0.07076576352119446","0.07076576352119446"
"4300","42","42","42","0.006538823246955872","0.006538823246955872","0.006538823246955872","42","42","42","0.1365087777376175","0.1365087777376175","0.1365087777376175","42","42","42","0.11442942172288895","0.11442942172288895","0.11442942172288895","42","42","42","0.07971318811178207","0.07971318811178207","0.07971318811178207","42","42","42","0.09680846333503723","0.09680846333503723","0.09680846333503723"
"4400","43","43","43","0.10028733313083649","0.10028733313083649","0.10028733313083649","43","43","43","0.0968995913863182","0.0968995913863182","0.0968995913863182","43","43","43","0.13125033676624298","0.13125033676624298","0.13125033676624298","43","43","43","0.1133253425359726","0.1133253425359726","0.1133253425359726","43","43","43","0.1076265498995781","0.1076265498995781","0.1076265498995781"
"4500","44","44","44","0.13032132387161255","0.13032132387161255","0.13032132387161255","44","44","44","0.09154003113508224","0.09154003113508224","0.09154003113508224","44","44","44","0.06220202520489693","0.06220202520489693","0.06220202520489693","44","44","44","0.07829483598470688","0.07829483598470688","0.07829483598470688","44","44","44","0.08808623254299164","0.08808623254299164","0.08808623254299164"
"4600","45","45","45","0.12285244464874268","0.12285244464874268","0.12285244464874268","45","45","45","0.06815722584724426","0.06815722584724426","0.06815722584724426","45","45","45","0.0925581306219101","0.0925581306219101","0.0925581306219101","45","45","45","0.14038360118865967","0.14038360118865967","0.14038360118865967","45","45","45","0.085848368704319","0.085848368704319","0.085848368704319"
"4700","46","46","46","0.07797501981258392","0.07797501981258392","0.07797501981258392","46","46","46","0.04137837514281273","0.04137837514281273","0.04137837514281273","46","46","46","0.11932992935180664","0.11932992935180664","0.11932992935180664","46","46","46","0.09808255732059479","0.09808255732059479","0.09808255732059479","46","46","46","0.11215749382972717","0.11215749382972717","0.11215749382972717"
"4800","47","47","47","0.08711914718151093","0.08711914718151093","0.08711914718151093","47","47","47","0.06381488591432571","0.06381488591432571","0.06381488591432571","47","47","47","0.08614037185907364","0.08614037185907364","0.08614037185907364","47","47","47","0.0629941001534462","0.0629941001534462","0.0629941001534462","47","47","47","0.09757550805807114","0.09757550805807114","0.09757550805807114"
"4900","48","48","48","0.11242473125457764","0.11242473125457764","0.11242473125457764","48","48","48","0.061717476695775986","0.061717476695775986","0.061717476695775986","48","48","48","0.10506671667098999","0.10506671667098999","0.10506671667098999","48","48","48","0.12444783002138138","0.12444783002138138","0.12444783002138138","48","48","48","0.07690170407295227","0.07690170407295227","0.07690170407295227"
"5000","49","49","49","0.0773153230547905","0.0773153230547905","0.0773153230547905","49","49","49","0.06085606664419174","0.06085606664419174","0.06085606664419174","49","49","49","0.04727264493703842","0.04727264493703842","0.04727264493703842","49","49","49","0.11312191933393478","0.11312191933393478","0.11312191933393478","49","49","49","0.12325026094913483","0.12325026094913483","0.12325026094913483"
"5100","50","50","50","0.12510845065116882","0.12510845065116882","0.12510845065116882","50","50","50","0.05552203208208084","0.05552203208208084","0.05552203208208084","50","50","50","0.10012657940387726","0.10012657940387726","0.10012657940387726","50","50","50","0.039982374757528305","0.039982374757528305","0.039982374757528305","50","50","50","0.07633770257234573","0.07633770257234573","0.07633770257234573"
"5200","51","51","51","0.10247489809989929","0.10247489809989929","0.10247489809989929","51","51","51","0.12025373429059982","0.12025373429059982","0.12025373429059982","51","51","51","0.13236673176288605","0.13236673176288605","0.13236673176288605","51","51","51","0.07943983376026154","0.07943983376026154","0.07943983376026154","51","51","51","0.1017865389585495","0.1017865389585495","0.1017865389585495"
"5300","52","52","52","0.06391944736242294","0.06391944736242294","0.06391944736242294","52","52","52","0.08387100696563721","0.08387100696563721","0.08387100696563721","52","52","52","0.12401925772428513","0.12401925772428513","0.12401925772428513","52","52","52","0.08531933277845383","0.08531933277845383","0.08531933277845383","52","52","52","0.12467823177576065","0.12467823177576065","0.12467823177576065"
"5400","53","53","53","0.14564189314842224","0.14564189314842224","0.14564189314842224","53","53","53","0.05504661053419113","0.05504661053419113","0.05504661053419113","53","53","53","0.07287327945232391","0.07287327945232391","0.07287327945232391","53","53","53","0.10091499239206314","0.10091499239206314","0.10091499239206314","53","53","53","0.09998442977666855","0.09998442977666855","0.09998442977666855"
"5500","54","54","54","0.09482263028621674","0.09482263028621674","0.09482263028621674","54","54","54","0.05613734573125839","0.05613734573125839","0.05613734573125839","54","54","54","0.1271480768918991","0.1271480768918991","0.1271480768918991","54","54","54","0.06879179179668427","0.06879179179668427","0.06879179179668427","54","54","54","0.12284830957651138","0.12284830957651138","0.12284830957651138"
"5600","55","55","55","0.1132853701710701","0.1132853701710701","0.1132853701710701","55","55","55","0.0521383211016655","0.0521383211016655","0.0521383211016655","55","55","55","0.07105766981840134","0.07105766981840134","0.07105766981840134","55","55","55","0.13228580355644226","0.13228580355644226","0.13228580355644226","55","55","55","0.0866994634270668","0.0866994634270668","0.0866994634270668"
"5700","56","56","56","0.09764881432056427","0.09764881432056427","0.09764881432056427","56","56","56","0.11601307988166809","0.11601307988166809","0.11601307988166809","56","56","56","0.14876611530780792","0.14876611530780792","0.14876611530780792","56","56","56","0.07705335319042206","0.07705335319042206","0.07705335319042206","56","56","56","0.06409949064254761","0.06409949064254761","0.06409949064254761"
"5800","57","57","57","0.10200496762990952","0.10200496762990952","0.10200496762990952","57","57","57","0.10428740084171295","0.10428740084171295","0.10428740084171295","57","57","57","0.0513576939702034","0.0513576939702034","0.0513576939702034","57","57","57","0.06346872448921204","0.06346872448921204","0.06346872448921204","57","57","57","0.0949687659740448","0.0949687659740448","0.0949687659740448"
"5900","58","58","58","0.10434521734714508","0.10434521734714508","0.10434521734714508","58","58","58","0.11811237782239914","0.11811237782239914","0.11811237782239914","58","58","58","0.10845888406038284","0.10845888406038284","0.10845888406038284","58","58","58","0.09039486199617386","0.09039486199617386","0.09039486199617386","58","58","58","0.0915474072098732","0.0915474072098732","0.0915474072098732"
"6000","59","59","59","0.06691888719797134","0.06691888719797134","0.06691888719797134","59","59","59","0.04914645850658417","0.04914645850658417","0.04914645850658417","59","59","59","0.1478898823261261","0.1478898823261261","0.1478898823261261","59","59","59","0.12075702100992203","0.12075702100992203","0.12075702100992203","59","59","59","0.1150723323225975","0.1150723323225975","0.1150723323225975"
"6100","60","60","60","0.05085659399628639","0.05085659399628639","0.05085659399628639","60","60","60","0.05780429765582085","0.05780429765582085","0.05780429765582085","60","60","60","0.08699790388345718","0.08699790388345718","0.08699790388345718","60","60","60","0.11390241980552673","0.11390241980552673","0.11390241980552673","60","60","60","0.08335575461387634","0.08335575461387634","0.08335575461387634"
"6200","61","61","61","0.10992304235696793","0.10992304235696793","0.10992304235696793","61","61","61","0.05555584654211998","0.05555584654211998","0.05555584654211998","61","61","61","0.06561987847089767","0.06561987847089767","0.06561987847089767","61","61","61","0.11627136915922165","0.11627136915922165","0.11627136915922165","61","61","61","0.12347077578306198","0.12347077578306198","0.12347077578306198"
"6300","62","62","62","0.13233307003974915","0.13233307003974915","0.13233307003974915","62","62","62","0.05509573221206665","0.05509573221206665","0.05509573221206665","62","62","62","0.0725293681025505","0.0725293681025505","0.0725293681025505","62","62","62","0.11180614680051804","0.11180614680051804","0.11180614680051804","62","62","62","0.1155787855386734","0.1155787855386734","0.1155787855386734"
"6400","63","63","63","0.12467559427022934","0.12467559427022934","0.12467559427022934","63","63","63","0.024896183982491493","0.024896183982491493","0.024896183982491493","63","63","63","0.08603142201900482","0.08603142201900482","0.08603142201900482","63","63","63","0.11539944261312485","0.11539944261312485","0.11539944261312485","63","63","63","0.08504864573478699","0.08504864573478699","0.08504864573478699"
"6500","64","64","64","0.12515750527381897","0.12515750527381897","0.12515750527381897","64","64","64","0.050108518451452255","0.050108518451452255","0.050108518451452255","64","64","64","0.1282455325126648","0.1282455325126648","0.1282455325126648","64","64","64","0.13837051391601562","0.13837051391601562","0.13837051391601562","64","64","64","0.08863381296396255","0.08863381296396255","0.08863381296396255"
"6600","65","65","65","0.09830984473228455","0.09830984473228455","0.09830984473228455","65","65","65","0.10694494843482971","0.10694494843482971","0.10694494843482971","65","65","65","0.13892297446727753","0.13892297446727753","0.13892297446727753","65","65","65","0.12592126429080963","0.12592126429080963","0.12592126429080963","65","65","65","0.15081745386123657","0.15081745386123657","0.15081745386123657"
"6700","66","66","66","0.1506374627351761","0.1506374627351761","0.1506374627351761","66","66","66","0.06214502453804016","0.06214502453804016","0.06214502453804016","66","66","66","0.142225980758667","0.142225980758667","0.142225980758667","66","66","66","0.10590877383947372","0.10590877383947372","0.10590877383947372","66","66","66","0.08003304898738861","0.08003304898738861","0.08003304898738861"
"6800","67","67","67","0.12425432354211807","0.12425432354211807","0.12425432354211807","67","67","67","0.05629955232143402","0.05629955232143402","0.05629955232143402","67","67","67","0.1278308928012848","0.1278308928012848","0.1278308928012848","67","67","67","0.13087067008018494","0.13087067008018494","0.13087067008018494","67","67","67","0.12540951371192932","0.12540951371192932","0.12540951371192932"
"6900","68","68","68","0.11586940288543701","0.11586940288543701","0.11586940288543701","68","68","68","0.06465605646371841","0.06465605646371841","0.06465605646371841","68","68","68","0.11220338195562363","0.11220338195562363","0.11220338195562363","68","68","68","0.12485041469335556","0.12485041469335556","0.12485041469335556","68","68","68","0.10656299442052841","0.10656299442052841","0.10656299442052841"
"7000","69","69","69","0.10666058957576752","0.10666058957576752","0.10666058957576752","69","69","69","0.04767676815390587","0.04767676815390587","0.04767676815390587","69","69","69","0.11522991955280304","0.11522991955280304","0.11522991955280304","69","69","69","0.12245399504899979","0.12245399504899979","0.12245399504899979","69","69","69","0.12623928487300873","0.12623928487300873","0.12623928487300873"
"7100","70","70","70","0.11730393767356873","0.11730393767356873","0.11730393767356873","70","70","70","0.0932512953877449","0.0932512953877449","0.0932512953877449","70","70","70","0.12791657447814941","0.12791657447814941","0.12791657447814941","70","70","70","0.1252787709236145","0.1252787709236145","0.1252787709236145","70","70","70","0.12268630415201187","0.12268630415201187","0.12268630415201187"
"7200","71","71","71","0.10497390478849411","0.10497390478849411","0.10497390478849411","71","71","71","0.07813645899295807","0.07813645899295807","0.07813645899295807","71","71","71","0.10823521763086319","0.10823521763086319","0.10823521763086319","71","71","71","0.15360088646411896","0.15360088646411896","0.15360088646411896","71","71","71","0.13211630284786224","0.13211630284786224","0.13211630284786224"
"7300","72","72","72","0.1209702342748642","0.1209702342748642","0.1209702342748642","72","72","72","0.1018739640712738","0.1018739640712738","0.1018739640712738","72","72","72","0.09503526985645294","0.09503526985645294","0.09503526985645294","72","72","72","0.15382446348667145","0.15382446348667145","0.15382446348667145","72","72","72","0.06608853489160538","0.06608853489160538","0.06608853489160538"
