"ray/tune/info/num_steps_sampled","threshold_type: 7 - _step","threshold_type: 7 - _step__MIN","threshold_type: 7 - _step__MAX","threshold_type: 7 - ray/tune/custom_metrics/prediction_error_mean","threshold_type: 7 - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: 7 - ray/tune/custom_metrics/prediction_error_mean__MAX","threshold_type: 5 - _step","threshold_type: 5 - _step__MIN","threshold_type: 5 - _step__MAX","threshold_type: 5 - ray/tune/custom_metrics/prediction_error_mean","threshold_type: 5 - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: 5 - ray/tune/custom_metrics/prediction_error_mean__MAX","threshold_type: 3 - _step","threshold_type: 3 - _step__MIN","threshold_type: 3 - _step__MAX","threshold_type: 3 - ray/tune/custom_metrics/prediction_error_mean","threshold_type: 3 - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: 3 - ray/tune/custom_metrics/prediction_error_mean__MAX","threshold_type: 1 - _step","threshold_type: 1 - _step__MIN","threshold_type: 1 - _step__MAX","threshold_type: 1 - ray/tune/custom_metrics/prediction_error_mean","threshold_type: 1 - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: 1 - ray/tune/custom_metrics/prediction_error_mean__MAX"
"1100","10","10","10","0.0663102500140667","0.04490101709961891","0.09304025024175644","10","10","10","0.0535512063652277","0.027492580935359","0.09276953339576721","10","10","10","0.05575829222798347","0.034122418612241745","0.06442296504974365","10","10","10","0.05532087655737996","0.003360441420227289","0.10509605705738068"
"1200","11","11","11","0.06610501036047936","0.047372300177812576","0.1062978208065033","11","11","11","0.06321335230022669","0.013000552542507648","0.09729830175638199","11","11","11","0.06672887979075312","0.005585444625467062","0.12539836764335632","11","11","11","0.07954050488770008","0.028008149936795235","0.11081475764513016"
"1300","12","12","12","0.05843208506703377","0.04673430323600769","0.0747770220041275","12","12","12","0.08214186653494834","0.049961816519498825","0.13175490498542786","12","12","12","0.06111660078167915","0.041003480553627014","0.07519000768661499","12","12","12","0.08223319202661514","0.07236490398645401","0.0858783945441246"
"1400","13","13","13","0.05197060024365783","-0.00493827136233449","0.1016264334321022","13","13","13","0.07187064290046692","0.05421927198767662","0.10856939852237701","13","13","13","0.07105129137635231","0.055352695286273956","0.10672475397586823","13","13","13","0.06752197593450546","0.03359321877360344","0.11891897022724152"
"1500","14","14","14","0.053936456143856046","-0.0169050395488739","0.08171113580465317","14","14","14","0.05302826883271337","0.006201467011123896","0.0850575864315033","14","14","14","0.06611672081053258","0.02556060440838337","0.09100516140460968","14","14","14","0.059302715584635735","0.02512178383767605","0.10724948346614838"
"1600","15","15","15","0.055757990851998326","-0.006556032225489616","0.09874779731035233","15","15","15","0.05058822520077229","0.006692452356219292","0.0814627930521965","15","15","15","0.06348435170948505","0.009028544649481773","0.09277879446744919","15","15","15","0.07440657243132591","0.03830070048570633","0.13792873919010162"
"1700","16","16","16","0.06556627452373505","0.03497093543410301","0.10032766312360764","16","16","16","0.04618900418281555","0.029995884746313095","0.0651133805513382","16","16","16","0.061139756441116334","0.009120386093854904","0.10182248800992966","16","16","16","0.07856655418872834","0.04690457135438919","0.11119052022695541"
"1800","17","17","17","0.04263471532613039","-0.007880385033786297","0.0693497285246849","17","17","17","0.05122653990983963","0.03566489368677139","0.07224549353122711","17","17","17","0.05754152648150921","0.02201198600232601","0.08086839318275452","17","17","17","0.07595219165086746","0.06482258439064026","0.1010858565568924"
"1900","18","18","18","0.07617805153131485","0.05716557055711746","0.09753640741109848","18","18","18","0.05962254032492638","0.027987077832221985","0.13252626359462738","18","18","18","0.0688350848853588","0.023761611431837082","0.10188736766576767","18","18","18","0.059850018471479416","0.02892330288887024","0.08862832188606262"
"2000","19","19","19","0.07096799537539482","0.053381215780973434","0.09533796459436417","19","19","19","0.06671977862715721","0.04879508540034294","0.08483652770519257","19","19","19","0.08921292796730995","0.04516183212399483","0.1139819398522377","19","19","19","0.04812836013734341","0.013468170538544655","0.07500074058771133"
"2100","20","20","20","0.049128569988533856","0.0013194733764976263","0.07221607118844986","20","20","20","0.06682645827531815","0.0463276132941246","0.1250736266374588","20","20","20","0.05051370859146118","-0.01727735437452793","0.09987546503543854","20","20","20","0.06535201370716096","0.04448720067739487","0.09850434958934784"
"2200","21","21","21","0.0778872698545456","0.06367343664169312","0.09755119681358337","21","21","21","0.07704364880919456","0.049939870834350586","0.10971946269273758","21","21","21","0.03612890904769302","0.0072713918052613735","0.05701519548892975","21","21","21","0.05884182751178742","0.01787184178829193","0.10870140790939331"
"2300","22","22","22","0.06579403430223466","0.03245072439312935","0.1068890318274498","22","22","22","0.06280702799558639","0.036039628088474274","0.09329303354024887","22","22","22","0.07510561421513558","0.02859368547797203","0.1300196349620819","22","22","22","0.06383130252361298","0.04983307048678398","0.07797389477491379"
"2400","23","23","23","0.05075604058802128","0.025410840287804604","0.09583171457052231","23","23","23","0.06695168791338801","-0.005343405995517969","0.12038016319274902","23","23","23","0.06569966897368432","0.04298734292387962","0.08534218370914459","23","23","23","0.0595549426972866","0.05241655930876732","0.06827152520418167"
"2500","24","24","24","0.047289063408970836","0.020294219255447388","0.075172059237957","24","24","24","0.07919005230069161","0.04288748651742935","0.13375331461429596","24","24","24","0.06226017102599144","0.03207265958189964","0.08730506896972656","24","24","24","0.08710856661200524","0.056630153208971024","0.11537458747625351"
"2600","25","25","25","0.0701394950505346","-0.0031004336196929216","0.10326426476240158","25","25","25","0.09446382224559784","0.07291390746831894","0.12991122901439667","25","25","25","0.07205999493598939","0.05439719557762146","0.09606768190860748","25","25","25","0.06498550847172738","0.052416492253541946","0.07195014506578445"
"2700","26","26","26","0.08651695549488067","0.033973485231399536","0.15380513668060303","26","26","26","0.07145104110240937","0.0437372624874115","0.09384668618440628","26","26","26","0.08704887181520463","0.050904206931591034","0.11084163188934326","26","26","26","0.06764208003878594","0.03390295058488846","0.14882627129554749"
"2800","27","27","27","0.05151996053755283","0.005714224651455879","0.10696776211261749","27","27","27","0.05595517009496689","0.033280473202466965","0.06903134286403656","27","27","27","0.05263460613787174","-0.004940880462527275","0.1057121604681015","27","27","27","0.05359240137040615","0.025838246569037437","0.0878080353140831"
"2900","28","28","28","0.042320725787431","0.006427744869142771","0.07359497994184494","28","28","28","0.06395049914717674","0.04424715042114258","0.08731856942176819","28","28","28","0.08164130300283431","0.06521014124155045","0.09100549668073654","28","28","28","0.07075850069522857","0.05314570665359497","0.08174651861190796"
"3000","29","29","29","0.05221649520099163","0.019705109298229218","0.10869894176721573","29","29","29","0.05732715800404549","0.03200062736868858","0.100053571164608","29","29","29","0.07714366763830185","0.03681749850511551","0.11597419530153275","29","29","29","0.05928657576441765","0.018309038132429123","0.09415481984615326"
"3100","30","30","30","0.06692280534189195","0.001625917269848287","0.12016484886407852","30","30","30","0.06017949171364308","0.02677069790661335","0.10338997840881348","30","30","30","0.05979336388409138","0.014294596388936043","0.10568175464868546","30","30","30","0.07085490655153989","0.008686418645083904","0.11261343955993652"
"3200","31","31","31","0.08891959488391876","0.05678917467594147","0.11949925124645233","31","31","31","0.05440383329987526","0.03433924540877342","0.08830845355987549","31","31","31","0.0855300210416317","0.054522011429071426","0.11112553626298904","31","31","31","0.09821175634860993","0.06762116402387619","0.13815641403198242"
"3300","32","32","32","0.07829355672001839","0.04668832942843437","0.13197974860668182","32","32","32","0.07731336504220962","0.04207945242524147","0.11150763928890228","32","32","32","0.07782111689448357","0.04292434826493263","0.10514035075902939","32","32","32","0.07563508674502373","0.03240949288010597","0.12049049139022827"
"3400","33","33","33","0.06899849027395248","0.05561881512403488","0.08388374000787735","33","33","33","0.07655582129955292","0.04563939571380615","0.09643012285232544","33","33","33","0.07649691253900529","0.036195918917655945","0.10278555005788803","33","33","33","0.053890965133905414","0.026429548859596252","0.08117898553609848"
"3500","34","34","34","0.09678861498832703","0.06717933714389801","0.12286306172609329","34","34","34","0.07608222216367722","0.04490530490875244","0.10806792974472046","34","34","34","0.07030654307454824","0.009219507686793804","0.09042953699827194","34","34","34","0.06765070110559464","0.05168074741959572","0.09648025035858154"
"3600","35","35","35","0.08093186393380165","0.05318903923034668","0.1308518946170807","35","35","35","0.08309249728918075","0.06628265976905823","0.10185989737510681","35","35","35","0.08241461217403412","0.06764490902423859","0.10285989195108414","35","35","35","0.10932067334651947","0.0869322195649147","0.12994824349880219"
"3700","36","36","36","0.08131302557885647","0.026942526921629906","0.13279302418231964","36","36","36","0.08981729969382286","0.051356080919504166","0.13286015391349792","36","36","36","0.07863647863268852","0.044620390981435776","0.10335809737443924","36","36","36","0.06254293173551559","0.023002684116363525","0.07972228527069092"
"3800","37","37","37","0.10347534269094467","0.08025714755058289","0.13688889145851135","37","37","37","0.07669208869338036","0.05508134886622429","0.09361723810434341","37","37","37","0.08946737200021744","0.0650697648525238","0.1207864060997963","37","37","37","0.07568122595548629","0.06634246557950974","0.08853406459093094"
"3900","38","38","38","0.09009103253483772","0.048829007893800735","0.11303132772445679","38","38","38","0.07681243047118187","0.05246854946017265","0.10057459771633148","38","38","38","0.07904048711061477","0.03653595224022865","0.13486626744270325","38","38","38","0.07646832503378391","0.02970907650887966","0.153586745262146"
"4000","39","39","39","0.07082108333706856","0.046483997255563736","0.10569321364164352","39","39","39","0.07633199468255043","0.054266635328531265","0.10409347712993622","39","39","39","0.0855514645576477","0.05307034030556679","0.11720699816942215","39","39","39","0.082726489007473","0.06689837574958801","0.1065550372004509"
"4100","40","40","40","0.08497545570135116","0.04926079511642456","0.11871244013309479","40","40","40","0.07880108058452606","0.057927485555410385","0.10019364207983017","40","40","40","0.08066900596022605","0.05970705300569534","0.11290817707777023","40","40","40","0.07417139187455177","0.047413501888513565","0.09485580027103424"
"4200","41","41","41","0.07802788838744164","0.059696462005376816","0.09634585678577423","41","41","41","0.09171640872955322","0.0617123544216156","0.1356201469898224","41","41","41","0.07322493717074394","0.0398787297308445","0.09097535908222198","41","41","41","0.08728847727179527","0.06062508746981621","0.12107759714126587"
"4300","42","42","42","0.10295777171850204","0.07549120485782623","0.13620798289775848","42","42","42","0.07659640833735466","0.05004017427563667","0.09287751466035843","42","42","42","0.09486262649297714","0.074655681848526","0.1131468191742897","42","42","42","0.07345219627022744","0.047624070197343826","0.10480666160583496"
"4400","43","43","43","0.07122236266732215","0.03537744656205177","0.09875182062387466","43","43","43","0.09261459559202194","0.06428460031747818","0.11109469830989838","43","43","43","0.09104869440197945","0.057841140776872635","0.12513715028762817","43","43","43","0.10808111280202866","0.0742768943309784","0.15374483168125153"
"4500","44","44","44","0.09582416191697121","0.04418743774294853","0.16160517930984497","44","44","44","0.08833026885986328","0.04690574109554291","0.11524179577827454","44","44","44","0.07463877573609352","0.053876426070928574","0.08591064065694809","44","44","44","0.0921549454331398","0.0739496499300003","0.11628492921590805"
"4600","45","45","45","0.07355985641479493","0.05682462453842163","0.09829437732696533","45","45","45","0.08590024337172508","0.049609724432229996","0.11078420281410217","45","45","45","0.09039985239505768","0.06635075062513351","0.10769271105527878","45","45","45","0.09153945371508598","0.05041476711630821","0.1326674520969391"
"4700","46","46","46","0.07392334342002868","0.04497182369232178","0.10271590948104858","46","46","46","0.10036407560110092","0.057655513286590576","0.15132036805152893","46","46","46","0.10378716439008713","0.06928227841854095","0.1332196444272995","46","46","46","0.08588864207267762","0.07454629987478256","0.11179623752832413"
"4800","47","47","47","0.10690555870532989","0.08428973704576492","0.1473410725593567","47","47","47","0.09428541585803032","0.056057680398225784","0.1327911913394928","47","47","47","0.09118531495332718","0.07365785539150238","0.11420860141515732","47","47","47","0.10921261608600616","0.09499240666627884","0.14212340116500854"
"4900","48","48","48","0.0871617004275322","0.06566749513149261","0.11389517039060593","48","48","48","0.08936019763350486","0.04635266587138176","0.1298605054616928","48","48","48","0.09006617665290832","0.0655379369854927","0.10924092680215836","48","48","48","0.09737891629338265","0.05966142937541008","0.14108522236347198"
"5000","49","49","49","0.08483983874320984","0.06314287334680557","0.10530214756727219","49","49","49","0.09481576234102249","0.07376069575548172","0.11691165715456009","49","49","49","0.10233636200428009","0.0813777819275856","0.13561499118804932","49","49","49","0.08314692825078965","0.049020394682884216","0.15195368230342865"
"5100","50","50","50","0.10061974972486495","0.06289207190275192","0.12267076969146729","50","50","50","0.09676150381565093","0.08327674865722656","0.10612709820270538","50","50","50","0.08702948093414306","0.048877716064453125","0.14479869604110718","50","50","50","0.11692605018615723","0.0847538486123085","0.16110262274742126"
"5200","51","51","51","0.09768175780773163","0.06379381567239761","0.11848481744527817","51","51","51","0.10476233512163162","0.06478632986545563","0.14186345040798187","51","51","51","0.08803671598434448","0.05619613081216812","0.10713951289653778","51","51","51","0.11543471664190293","0.06685828417539597","0.1674281805753708"
"5300","52","52","52","0.09053976535797119","0.06252623349428177","0.13555288314819336","52","52","52","0.10571107119321824","0.07739700376987457","0.1399710476398468","52","52","52","0.10022504776716232","0.06612534075975418","0.1313270926475525","52","52","52","0.1040640041232109","0.07757730782032013","0.1388169378042221"
"5400","53","53","53","0.11291792541742325","0.08789969235658646","0.13667385280132294","53","53","53","0.09306115210056305","0.0538225919008255","0.1102675125002861","53","53","53","0.10622798055410385","0.08490979671478271","0.13391824066638947","53","53","53","0.11679795533418655","0.10137134790420532","0.14024318754673004"
"5500","54","54","54","0.12419499903917312","0.0865405946969986","0.16326339542865753","54","54","54","0.107608363032341","0.09662333130836487","0.12742266058921814","54","54","54","0.10973448902368546","0.050561897456645966","0.12667398154735565","54","54","54","0.1228843241930008","0.08231049031019211","0.159370556473732"
"5600","55","55","55","0.09580021649599076","0.07470455020666122","0.11507049947977066","55","55","55","0.11109300106763839","0.09351790696382523","0.12551753222942352","55","55","55","0.11467653214931488","0.10960235446691513","0.1228283941745758","55","55","55","0.1003788635134697","0.08858506381511688","0.1303783804178238"
"5700","56","56","56","0.10871788114309311","0.10329105705022812","0.11810129880905151","56","56","56","0.09034419059753418","0.07697472721338272","0.11799745261669159","56","56","56","0.10645934194326401","0.06040988862514496","0.15216302871704102","56","56","56","0.11274928897619248","0.08366303145885468","0.1310679167509079"
"5800","57","57","57","0.10140177682042122","0.05417563393712044","0.13997375965118408","57","57","57","0.12815385460853576","0.1160132884979248","0.1420646458864212","57","57","57","0.11440471857786179","0.07595622539520264","0.15191234648227692","57","57","57","0.1029793381690979","0.08752206712961197","0.12930037081241608"
"5900","58","58","58","0.11444353014230728","0.10099104791879654","0.14702095091342926","58","58","58","0.09277614057064057","0.04947328567504883","0.12787045538425446","58","58","58","0.10118926763534546","0.07517249882221222","0.1577920913696289","58","58","58","0.10686896741390228","0.06691727042198181","0.15450851619243622"
"6000","59","59","59","0.07658491283655167","0.05263963341712952","0.10432077199220657","59","59","59","0.09570560231804848","0.06002097204327583","0.12016833573579788","59","59","59","0.10376077145338058","0.07627623528242111","0.12213195860385895","59","59","59","0.10054662674665452","0.06318174302577972","0.13133127987384796"
"6100","60","60","60","0.11554508358240127","0.08197088539600372","0.15981578826904297","60","60","60","0.1101175755262375","0.06757701933383942","0.13953855633735657","60","60","60","0.1224240466952324","0.11085522919893265","0.154028058052063","60","60","60","0.1076180875301361","0.08882603049278259","0.12828873097896576"
"6200","61","61","61","0.12905844151973725","0.10614018142223358","0.15490633249282837","61","61","61","0.13270249366760253","0.10294514894485474","0.16080614924430847","61","61","61","0.10580014288425446","0.05856822431087494","0.13781876862049103","61","61","61","0.12240607142448426","0.10390906780958176","0.14662620425224304"
"6300","62","62","62","0.08501412868499755","0.060332924127578735","0.11186350882053375","62","62","62","0.11487773954868316","0.09544545412063599","0.15409600734710693","62","62","62","0.1173055961728096","0.09882621467113495","0.1547098606824875","62","62","62","0.1046303778886795","0.08004344254732132","0.13483157753944397"
"6400","63","63","63","0.11597660779953003","0.08708763867616653","0.12840141355991364","63","63","63","0.132343091070652","0.12112578004598618","0.14629656076431274","63","63","63","0.12618973851203918","0.11766435950994492","0.14335483312606812","63","63","63","0.09864378720521927","0.07372075319290161","0.15819288790225983"
"6500","64","64","64","0.12511285692453383","0.08401485532522202","0.15575039386749268","64","64","64","0.09266611933708191","0.07442575693130493","0.12493846565485","64","64","64","0.12544104754924773","0.09186901897192001","0.1612444967031479","64","64","64","0.11453857719898224","0.09679382294416428","0.15303561091423035"
"6600","65","65","65","0.10802869200706482","0.09282103180885315","0.12158488482236862","65","65","65","0.11292539536952972","0.06548655033111572","0.13100449740886688","65","65","65","0.08978383094072342","0.06337110698223114","0.10722489655017853","65","65","65","0.09911856055259705","0.0649927631020546","0.12696531414985657"
"6700","66","66","66","0.0966525360941887","0.07784625887870789","0.13004039227962494","66","66","66","0.11067171096801758","0.07433073222637177","0.14945203065872192","66","66","66","0.10679080188274384","0.08156874775886536","0.12806540727615356","66","66","66","0.10988098084926605","0.08254826068878174","0.15302491188049316"
"6800","67","67","67","0.12066994458436966","0.1010047048330307","0.1707129031419754","67","67","67","0.11036166697740554","0.07622931152582169","0.12955185770988464","67","67","67","0.12218137830495834","0.10022138059139252","0.13477346301078796","67","67","67","0.11223417818546295","0.09937837719917297","0.12461845576763153"
"6900","68","68","68","0.11398781985044479","0.09018991142511368","0.12553894519805908","68","68","68","0.11340322345495224","0.07527641952037811","0.1340513378381729","68","68","68","0.09603806585073471","0.06726904213428497","0.14469073712825775","68","68","68","0.11752183139324188","0.0895596370100975","0.14860254526138306"
"7000","69","69","69","0.1111482709646225","0.08321813493967056","0.14158640801906586","69","69","69","0.12080138921737671","0.07199367880821228","0.14868545532226562","69","69","69","0.12410566955804825","0.09509015083312988","0.16507677733898163","69","69","69","0.11353782713413238","0.09267496317625046","0.14715802669525146"
"7100","70","70","70","0.1332075759768486","0.11423316597938538","0.1591990441083908","70","70","70","0.12533310055732727","0.09793814271688461","0.14846950769424438","70","70","70","0.10577041059732437","0.06135620176792145","0.14228373765945435","70","70","70","0.11428570747375488","0.0712399110198021","0.16362439095973969"
"7200","71","71","71","0.12289012968540192","0.0923500657081604","0.14168579876422882","71","71","71","0.12196145057678223","0.09780305624008179","0.15207096934318542","71","71","71","0.1127264067530632","0.06938295811414719","0.13424572348594666","71","71","71","0.13295772224664687","0.10497313737869263","0.17861178517341614"
"7300","72","72","72","0.1166484922170639","0.09496882557868958","0.1490638554096222","72","72","72","0.11889528632164001","0.0850723460316658","0.14494483172893524","72","72","72","0.11564460396766663","0.0841849073767662","0.1569903939962387","72","72","72","0.12316004186868668","0.09801068156957626","0.1718459576368332"
"7400","73","73","73","0.114174784719944","0.077304407954216","0.13510186970233917","73","73","73","0.11814458221197129","0.0772203654050827","0.15592224895954132","73","73","73","0.11793513745069503","0.08066141605377197","0.1394442319869995","73","73","73","0.12025521844625472","0.09563373029232025","0.17258970439434052"
"7500","74","74","74","0.11160490661859512","0.09301839023828506","0.14119169116020203","74","74","74","0.13019415140151977","0.10439343750476837","0.1566457599401474","74","74","74","0.137246772646904","0.09687207639217377","0.16587761044502258","74","74","74","0.13245649337768556","0.11321224272251129","0.1517542153596878"
"7600","75","75","75","0.1211832195520401","0.11125089228153229","0.1283484399318695","75","75","75","0.1368754968047142","0.12208225578069687","0.15223413705825806","75","75","75","0.12252651900053024","0.09283231198787689","0.15918515622615814","75","75","75","0.14050125926733018","0.0994838997721672","0.16581924259662628"
"7700","76","76","76","0.12873731553554535","0.09744895994663239","0.15514735877513885","76","76","76","0.11611611694097519","0.07536793500185013","0.15120084583759308","76","76","76","0.11904923319816589","0.09098879992961884","0.16418465971946716","76","76","76","0.13486104011535643","0.08145633339881897","0.17892181873321533"
"7800","77","77","77","0.11707671135663986","0.0972001776099205","0.14087723195552826","77","77","77","0.12458408474922181","0.11602141708135605","0.13742271065711975","77","77","77","0.14261224418878554","0.12183337658643723","0.16366353631019592","77","77","77","0.11426429748535157","0.08415926992893219","0.13820679485797882"
"7900","78","78","78","0.11390042155981064","0.09583627432584763","0.13993044197559357","78","78","78","0.10462203621864319","0.0881144106388092","0.1226833239197731","78","78","78","0.13073366433382033","0.07885173708200455","0.15652361512184143","78","78","78","0.11163631528615951","0.09453418850898743","0.12705595791339874"
"8000","79","79","79","0.11493955999612808","0.09129257500171661","0.1423465460538864","79","79","79","0.14109213650226593","0.11321906745433807","0.168251171708107","79","79","79","0.14565654397010802","0.11944195628166199","0.16652444005012512","79","79","79","0.12471635341644287","0.08715370297431946","0.17751231789588928"
"8100","80","80","80","0.12618545442819595","0.10927635431289673","0.14581173658370972","80","80","80","0.13104091882705687","0.08971713483333588","0.17553836107254028","80","80","80","0.1078055515885353","0.07497179508209229","0.13679571449756622","80","80","80","0.13087818324565886","0.1031353771686554","0.15785028040409088"
"8200","81","81","81","0.12991712242364883","0.10052523016929626","0.1526162326335907","81","81","81","0.1331317886710167","0.09005097299814224","0.1807037889957428","81","81","81","0.1193588212132454","0.0876043513417244","0.15550382435321808","81","81","81","0.1349158063530922","0.1061638817191124","0.15072274208068848"
"8300","82","82","82","0.1332716554403305","0.12043408304452896","0.16424638032913208","82","82","82","0.1095043584704399","0.09861917048692703","0.12153056263923645","82","82","82","0.12769818007946016","0.10627982765436172","0.1718800663948059","82","82","82","0.13497676253318786","0.09467725455760956","0.16001366078853607"
"8400","83","83","83","0.13467617928981782","0.12096627056598663","0.14543408155441284","83","83","83","0.12409105151891708","0.10487891733646393","0.14259259402751923","83","83","83","0.1244342565536499","0.07248655706644058","0.15623614192008972","83","83","83","0.12517269402742387","0.11878859996795654","0.13040930032730103"
"8500","84","84","84","0.11924611032009125","0.09429152309894562","0.13927876949310303","84","84","84","0.11707296073436738","0.09476082026958466","0.13983547687530518","84","84","84","0.12917723953723909","0.11372117698192596","0.14334280788898468","84","84","84","0.10819281339645385","0.07015705853700638","0.1408575028181076"
"8600","85","85","85","0.1330819696187973","0.1073080450296402","0.14502736926078796","85","85","85","0.11040787994861603","0.10176857560873032","0.13123777508735657","85","85","85","0.1300436168909073","0.10333628952503204","0.15194830298423767","85","85","85","0.12028580009937287","0.10138832777738571","0.14438354969024658"
"8700","86","86","86","0.1172866776585579","0.1011095866560936","0.13876934349536896","86","86","86","0.14100919365882875","0.1147034615278244","0.16693291068077087","86","86","86","0.12292158603668213","0.09947790950536728","0.15125486254692078","86","86","86","0.112919619679451","0.08709471672773361","0.1514682024717331"
"8800","87","87","87","0.1319403290748596","0.10687890648841858","0.1444445550441742","87","87","87","0.12313785254955292","0.09869948029518127","0.1389000415802002","87","87","87","0.12919282168149948","0.10598644614219666","0.1586693525314331","87","87","87","0.11010588407516479","0.0637442022562027","0.15519191324710846"
"8900","88","88","88","0.12396741211414337","0.09128964692354202","0.1398419290781021","88","88","88","0.1252591073513031","0.09399658441543579","0.15258291363716125","88","88","88","0.12882652878761292","0.11561145633459091","0.1446499526500702","88","88","88","0.12142222374677658","0.10011234134435654","0.14967931807041168"
"9000","89","89","89","0.12636474370956421","0.09705403447151184","0.14896908402442932","89","89","89","0.10913277715444565","0.08436722308397293","0.12869177758693695","89","89","89","0.12806789577007294","0.10844330489635468","0.15041835606098175","89","89","89","0.12223456054925919","0.10865016281604767","0.13816119730472565"
"9100","90","90","90","0.11988665461540222","0.09448012709617615","0.1409725546836853","90","90","90","0.12201600521802902","0.10683558136224747","0.14260222017765045","90","90","90","0.13505949229001998","0.099916972219944","0.15898510813713074","90","90","90","0.11707014739513397","0.09416571259498596","0.14176128804683685"
"9200","91","91","91","0.13858986645936966","0.11399636417627335","0.15897123515605927","91","91","91","0.1123569816350937","0.07557455450296402","0.13784779608249664","91","91","91","0.14711884707212447","0.11729351431131363","0.16995851695537567","91","91","91","0.11860967427492142","0.0891452357172966","0.14604683220386505"
"9300","92","92","92","0.13819710314273834","0.12972426414489746","0.1540718823671341","92","92","92","0.12661066204309462","0.09919283539056778","0.1549047976732254","92","92","92","0.11883895844221115","0.10637480020523071","0.13696707785129547","92","92","92","0.12526143789291383","0.0915023535490036","0.14776423573493958"
